Transcript	Count	Read	Feq
ENST00000393658	1	1	1
ENST00000404816	1	2	1
ENST00000402934	1	2	1
ENST00000404525	1	2	1
ENST00000407925	1	2	1
ENST00000354476	1	2	1
ENST00000390003	1	2	1
ENST00000418533	1	2	1
ENST00000311528	1	1	2
ENST00000491523	1	1	2
ENST00000563749	1	1	2
ENST00000484610	1	1	2
ENST00000563270	1	1	2
ENST00000567815	1	1	2
ENST00000562879	1	1	2
ENST00000565571	1	1	2
ENST00000393099	1	1	2
ENST00000399461	1	1	2
ENST00000481588	1	2	2
ENST00000419135	1	2	2
ENST00000433153	1	2	2
ENST00000429840	1	2	2
ENST00000491984	1	2	2
ENST00000457903	1	2	2
ENST00000479546	1	2	2
ENST00000445075	1	2	2
ENST00000467922	1	2	2
ENST00000482006	1	2	2
ENST00000392385	1	1	3
ENST00000538183	1	2	3
ENST00000476192	1	2	3
ENST00000497426	1	2	3
ENST00000474698	1	2	3
ENST00000492472	1	1	4
ENST00000467514	1	1	4
ENST00000318636	1	1	4
ENST00000360428	1	1	4
ENST00000434452	1	1	4
ENST00000328913	1	1	4
ENST00000473233	1	1	4
ENST00000338733	1	1	4
ENST00000446782	1	1	4
ENST00000424280	1	1	4
ENST00000309424	1	1	4
ENST00000592540	1	1	4
ENST00000536413	1	1	4
ENST00000297578	1	1	4
ENST00000523256	1	1	4
ENST00000521645	1	1	4
ENST00000302219	1	1	4
ENST00000328546	1	1	4
ENST00000370272	1	1	4
ENST00000366089	1	1	4
ENST00000296318	1	1	4
ENST00000475135	1	1	4
ENST00000581251	1	1	4
ENST00000596009	1	1	4
ENST00000479162	1	2	4
ENST00000526353	1	2	4
ENST00000586331	1	2	4
ENST00000574474	1	2	4
ENST00000414802	1	2	4
ENST00000357578	1	2	4
ENST00000373242	1	2	4
ENST00000288699	1	2	4
ENST00000484882	1	2	4
ENST00000301215	1	2	4
ENST00000556831	1	2	4
ENST00000463436	1	2	4
ENST00000238831	1	2	4
ENST00000583972	1	2	4
ENST00000505031	1	2	4
ENST00000295628	1	2	4
ENST00000317449	1	2	4
ENST00000558383	1	2	4
ENST00000358689	1	2	4
ENST00000522255	1	2	4
ENST00000588278	1	2	4
ENST00000360803	1	2	4
ENST00000316738	1	2	4
ENST00000555872	1	2	4
ENST00000470730	1	2	4
ENST00000607738	1	2	4
ENST00000355754	1	2	4
ENST00000592624	1	2	4
ENST00000594204	1	2	4
ENST00000571346	1	2	4
ENST00000391750	1	2	4
ENST00000424807	1	2	4
ENST00000472824	1	2	4
ENST00000313146	1	2	4
ENST00000604207	1	2	4
ENST00000605232	1	2	4
ENST00000604311	1	2	4
ENST00000575959	1	2	4
ENST00000571923	1	2	4
ENST00000587996	1	2	4
ENST00000590939	1	2	4
ENST00000592538	1	2	4
ENST00000586069	1	2	4
ENST00000586303	1	2	4
ENST00000575296	1	2	4
ENST00000570726	1	2	4
ENST00000585529	1	2	4
ENST00000587221	1	2	4
ENST00000589439	1	2	4
ENST00000576704	1	2	4
ENST00000608143	1	2	4
ENST00000605489	1	2	4
ENST00000604151	1	2	4
ENST00000310613	1	1	5
ENST00000229465	1	2	5
ENST00000361681	1	1	6
ENST00000182527	1	2	6
ENST00000395684	1	1	7
ENST00000493690	1	1	7
ENST00000233838	1	1	7
ENST00000302219	1	1	7
ENST00000328546	1	1	7
ENST00000530493	1	1	7
ENST00000296318	1	1	7
ENST00000530275	1	1	7
ENST00000392869	1	1	7
ENST00000209875	1	1	7
ENST00000437380	1	1	7
ENST00000530934	1	2	7
ENST00000449131	1	1	8
ENST00000291577	1	2	8
ENST00000495007	1	2	8
ENST00000348499	1	2	8
ENST00000449622	1	2	8
ENST00000419932	1	1	9
ENST00000379847	1	2	9
ENST00000350021	1	2	9
ENST00000310823	2	1	10
ENST00000482918	2	2	10
ENST00000492223	2	2	10
ENST00000351760	2	2	10
ENST00000487850	2	2	10
ENST00000601871	1	1	11
ENST00000464595	1	2	11
ENST00000394077	1	2	11
ENST00000469605	1	2	11
ENST00000342584	1	1	12
ENST00000509294	1	2	12
ENST00000261868	1	1	13
ENST00000535391	1	1	13
ENST00000569256	1	2	13
ENST00000248098	1	2	13
ENST00000562684	1	2	13
ENST00000561516	1	2	13
ENST00000382711	1	2	13
ENST00000569765	1	2	13
ENST00000382710	1	2	13
ENST00000231061	1	1	14
ENST00000538026	1	1	14
ENST00000521569	1	1	14
ENST00000524277	1	1	14
ENST00000539687	1	1	14
ENST00000398238	1	2	14
ENST00000575068	1	2	14
ENST00000225282	1	2	14
ENST00000570034	1	2	14
ENST00000475644	11	1	15
ENST00000489063	11	1	15
ENST00000469249	11	2	15
ENST00000449131	1	1	16
ENST00000251636	1	2	16
ENST00000504778	1	2	16
ENST00000264775	5	1	17
ENST00000307259	5	1	17
ENST00000508716	5	2	17
ENST00000429412	1	1	18
ENST00000546113	1	1	18
ENST00000309733	1	1	18
ENST00000489060	1	1	18
ENST00000254636	1	2	18
ENST00000449247	1	2	18
ENST00000410111	1	2	18
ENST00000419070	1	2	18
ENST00000442664	1	2	18
ENST00000409051	1	2	18
ENST00000435590	1	2	18
