Transcript	Count	Read	Feq
ENST00000557811	1	1	1
ENST00000569626	1	1	1
ENST00000545573	1	1	1
ENST00000476106	1	2	1
ENST00000595806	1	2	1
ENST00000462073	1	2	1
ENST00000471841	1	2	1
ENST00000379361	1	2	1
ENST00000398738	1	2	1
ENST00000543600	1	2	1
ENST00000444614	1	2	1
ENST00000536991	1	2	1
ENST00000602149	1	2	1
ENST00000452375	1	2	1
ENST00000449784	1	2	1
ENST00000450501	1	2	1
ENST00000357490	1	2	1
ENST00000432387	1	2	1
ENST00000461350	1	2	1
ENST00000329665	1	2	1
ENST00000562435	1	2	1
ENST00000312675	1	2	1
ENST00000543006	1	2	1
ENST00000357613	1	2	1
ENST00000569540	1	2	1
ENST00000526038	1	2	1
ENST00000373014	1	2	1
ENST00000551365	1	2	1
ENST00000372806	1	2	1
ENST00000499879	1	2	1
ENST00000367612	1	2	1
ENST00000411857	1	2	1
ENST00000310865	1	2	1
ENST00000462972	1	1	2
ENST00000561733	1	1	2
ENST00000414696	1	2	2
ENST00000377670	1	1	3
ENST00000339613	1	1	3
ENST00000438528	1	1	3
ENST00000475165	1	2	3
ENST00000562435	1	2	3
ENST00000597806	1	2	3
ENST00000366932	1	1	4
ENST00000319863	1	2	4
ENST00000354286	1	2	4
ENST00000454337	1	1	5
ENST00000471603	1	1	5
ENST00000377705	1	1	5
ENST00000508335	1	1	5
ENST00000424133	1	1	5
ENST00000323571	1	2	5
ENST00000582781	1	2	5
ENST00000394103	1	2	5
ENST00000536600	1	2	5
ENST00000532425	1	1	6
ENST00000571337	1	1	6
ENST00000470442	1	2	6
ENST00000530958	1	2	6
ENST00000497675	1	2	6
ENST00000377705	1	2	6
ENST00000459901	1	2	6
ENST00000521580	1	2	6
ENST00000361379	1	2	6
ENST00000465826	1	1	7
ENST00000505065	1	1	7
ENST00000361485	1	1	7
ENST00000437538	1	1	7
ENST00000472198	1	1	7
ENST00000573729	1	1	7
ENST00000575324	1	1	7
ENST00000261651	1	1	7
ENST00000582764	1	1	7
ENST00000249344	1	2	7
