Transcript	Count	Read	Feq
ENST00000403396	1	1	1
ENST00000495320	1	2	1
ENST00000401609	1	1	2
ENST00000464182	1	1	2
ENST00000473638	1	1	2
ENST00000216146	1	1	2
ENST00000465618	1	1	2
ENST00000467105	1	1	2
ENST00000417615	1	1	2
ENST00000606230	1	2	2
ENST00000550977	1	1	3
ENST00000229465	1	1	3
ENST00000602666	1	1	3
ENST00000309733	1	2	3
ENST00000394511	1	2	3
ENST00000483793	1	2	3
ENST00000355520	1	2	3
ENST00000354232	1	2	3
ENST00000221957	1	1	4
ENST00000592528	1	1	4
ENST00000589163	1	1	4
ENST00000519191	1	2	4
ENST00000495257	1	2	4
ENST00000584554	1	2	4
ENST00000499676	1	2	4
ENST00000221996	1	2	4
ENST00000392499	1	2	4
ENST00000338733	1	2	4
ENST00000446782	1	2	4
ENST00000424280	1	2	4
ENST00000429989	1	2	4
ENST00000299576	1	2	4
ENST00000309377	1	2	4
ENST00000309357	1	2	4
ENST00000396648	1	2	4
ENST00000534147	1	2	4
ENST00000383657	1	2	4
ENST00000275053	1	2	4
ENST00000295030	1	2	4
ENST00000376955	1	2	4
ENST00000440811	1	2	4
ENST00000310613	1	1	5
ENST00000229465	1	2	5
ENST00000436063	1	1	6
ENST00000376712	1	2	6
ENST00000431134	1	1	7
ENST00000406913	1	1	7
ENST00000416139	1	1	7
ENST00000456160	1	1	7
ENST00000451906	1	1	7
ENST00000434984	1	1	7
ENST00000432419	1	1	7
ENST00000412728	1	1	7
ENST00000492925	1	1	7
ENST00000446445	1	1	7
ENST00000498752	1	1	7
ENST00000446637	1	1	7
ENST00000439573	1	1	7
ENST00000399415	1	1	7
ENST00000579116	1	1	7
ENST00000592379	1	2	7
ENST00000521425	1	1	8
ENST00000262213	1	1	8
ENST00000520700	1	1	8
ENST00000536748	1	1	8
ENST00000504077	1	2	8
ENST00000297625	1	1	9
ENST00000307662	1	2	9
ENST00000355585	1	1	10
ENST00000367122	1	1	10
ENST00000593646	1	2	10
ENST00000592610	1	1	11
ENST00000230048	1	2	11
ENST00000537591	1	2	11
ENST00000231461	1	2	11
ENST00000512136	1	2	11
ENST00000425673	1	2	11
ENST00000425466	21	1	12
ENST00000487100	21	1	12
ENST00000382175	21	1	12
ENST00000472161	21	1	12
ENST00000474167	21	1	12
ENST00000604922	21	2	12
ENST00000508053	1	1	13
