ENST00000592379 	ENST00000422514 ENST00000582736 ENST00000475608 ENST00000471152 ENST00000438478 	133 	619 21 6 6 19 	138 	619 21 6 6 19 	48 	51 51 51 51 51 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	279 	190 200 245 	279 	190 200 245 	53 	53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	171 130 	463 	171 130 	53 	53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	349 	631 640 644 526 	359 	631 640 644 526 	42 	53 53 53 53 
ENST00000554659 	ENST00000557319 	1581 	495 	1581 	495 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4142 	79 81 	4142 	79 81 	53 	52 52 
ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 	ENST00000372648 ENST00000223865 ENST00000539497 	2330 1483 2241 3006 3056 	1778 1258 1389 	2330 1483 2241 3006 3056 	1778 1258 1389 	47 47 47 47 47 	53 53 53 
ENST00000467719 	ENST00000313334 	2441 	2814 	2445 	2814 	33 	53 
ENST00000361681 	ENST00000361567 	469 	1693 	469 	1693 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3031 2932 2686 	284 	3031 2932 2686 	284 	53 53 53 	53 
ENST00000514253 	ENST00000511844 	512 	88 	512 	88 	53 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3088 2989 2743 	54 	3088 2989 2743 	54 	53 53 53 	53 
ENST00000361681 ENST00000506002 	ENST00000361567 	425 425 	1743 	425 425 	1743 	53 53 	53 
ENST00000418655 	ENST00000382952 ENST00000290921 ENST00000503594 ENST00000514596 	848 	1939 1769 817 586 	862 	1939 1769 817 586 	32 	52 52 52 52 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4132 	112 110 312 112 112 	4132 	112 110 312 112 112 	53 	53 53 53 53 53 
ENST00000514253 	ENST00000511844 	494 	132 	495 	132 	52 	53 
ENST00000402673 ENST00000481445 ENST00000572991 ENST00000553155 ENST00000598404 	ENST00000372236 ENST00000372226 	4932 1727 551 449 1727 	2993 2775 	4947 1742 566 464 1742 	2993 2775 	35 35 35 35 35 	52 52 
ENST00000604922 	ENST00000503002 ENST00000472161 ENST00000474167 ENST00000461022 	331 	349 175 175 175 	331 	349 175 175 175 	53 	53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	98 96 238 	3762 	98 96 238 	50 	53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	350 	85 28 	350 	85 28 	53 	52 52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	392 	634 643 647 529 	393 	634 643 647 529 	52 	51 51 51 51 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3744 	213 95 93 235 213 	3744 	213 95 93 235 213 	53 	51 51 51 51 51 
ENST00000606613 ENST00000486927 ENST00000416222 	ENST00000395878 ENST00000567212 	2067 273 316 	3345 2964 	2067 273 316 	3345 2964 	51 51 51 	52 52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	349 	596 605 609 491 	359 	596 605 609 491 	42 	53 53 53 53 
ENST00000373823 ENST00000483960 ENST00000373818 ENST00000373807 ENST00000545652 ENST00000436847 ENST00000394353 ENST00000449733 ENST00000412819 ENST00000341272 ENST00000373808 	ENST00000321358 ENST00000436427 	2081 743 1398 1531 1355 1467 1458 1508 1475 1396 1303 	886 896 	2081 743 1398 1531 1355 1467 1458 1508 1475 1396 1303 	886 896 	52 52 52 52 52 52 52 52 52 52 52 	52 52 
ENST00000458073 ENST00000489527 	ENST00000470642 	1253 325 	492 	1253 325 	492 	53 53 	53 
ENST00000582963 	ENST00000578373 	1868 	4438 	1868 	4438 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3757 	208 90 88 230 208 	3757 	208 90 88 230 208 	53 	53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3494 	815 348 371 366 372 373 571 371 371 348 	3494 	815 348 371 366 372 373 571 371 371 348 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	73 16 	381 	73 16 	48 	52 52 
ENST00000594552 ENST00000597987 	ENST00000589528 	807 744 	311 	807 744 	311 	53 53 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	372 	670 679 683 565 	372 	670 679 683 565 	51 	53 53 53 53 
ENST00000526743 	ENST00000534706 	1864 	679 	1864 	679 	53 	53 
ENST00000592379 	ENST00000582736 	32 	113 	32 	113 	53 	50 
ENST00000351193 	ENST00000262144 ENST00000536050 	2941 	661 700 	2941 	661 700 	52 	53 53 
ENST00000592379 	ENST00000475608 	153 	6 	153 	6 	53 	52 
ENST00000397488 ENST00000324385 ENST00000397489 	ENST00000566296 	4505 4600 4503 	535 	4505 4600 4503 	535 	53 53 53 	52 
ENST00000508814 ENST00000514253 	ENST00000514383 ENST00000502296 ENST00000504734 ENST00000247461 ENST00000452673 ENST00000502498 ENST00000507307 ENST00000504579 ENST00000513246 ENST00000514032 ENST00000415618 ENST00000512607 	306 237 	236 506 273 283 230 148 429 221 488 201 263 201 	306 237 	236 506 273 283 230 148 429 221 488 201 263 201 	53 53 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1107 1124 	234 185 	1107 1124 	234 185 	52 52 	53 53 
ENST00000241527 ENST00000488567 ENST00000455202 	ENST00000405547 	4144 3579 2372 	3847 	4146 3581 2374 	3847 	50 50 50 	53 
ENST00000314675 	ENST00000319041 	2107 	511 	2108 	511 	52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	107 105 247 	3759 	107 105 247 	52 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3471 	826 359 382 377 383 384 382 359 	3471 	826 359 382 377 383 384 382 359 	50 	53 53 53 53 53 53 53 53 
ENST00000361681 	ENST00000361567 	486 	1734 	486 	1746 	39 	41 
ENST00000314675 	ENST00000319041 	2110 	549 	2110 	549 	53 	53 
ENST00000427908 	ENST00000567272 ENST00000403549 	1285 	578 426 	1285 	595 443 	51 	36 36 
ENST00000463943 	ENST00000507623 ENST00000380638 	422 	65 65 	422 	65 65 	53 	52 52 
ENST00000452722 	ENST00000366645 ENST00000360394 	5057 	4436 4416 	5062 	4436 4416 	36 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	275 	1116 1133 	275 	53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	86 84 226 	3744 	86 84 226 	53 	52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	294 	1118 1135 	294 	53 53 	53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 ENST00000222190 	249 247 235 219 	-1 5 	249 247 235 219 	8 14 	52 52 52 52 	44 44 
ENST00000469528 ENST00000495588 	ENST00000508621 ENST00000467930 	124 0 	247 433 	144 20 	247 433 	33 33 	51 51 
ENST00000334567 	ENST00000558583 	1181 	5860 	1189 	5860 	34 	53 
