ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	426 426 	1778 1778 	426 426 	1778 1778 	53 53 	34 34 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	186 	1091 1108 	186 	50 50 	52 
ENST00000314675 	ENST00000319041 	2120 	604 	2120 	604 	51 	53 
ENST00000575152 	ENST00000576335 	3574 	440 	3574 	440 	53 	50 
ENST00000539903 ENST00000485920 	ENST00000468078 	2650 2645 	316 	2650 2645 	316 	53 53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1154 1171 	235 186 	1154 1171 	235 186 	52 52 	52 52 
ENST00000569239 	ENST00000476192 ENST00000497426 	1496 	6749 6749 	1496 	6749 6749 	52 	53 53 
ENST00000295269 ENST00000309733 ENST00000564458 ENST00000564795 	ENST00000557060 ENST00000604604 ENST00000295025 ENST00000600751 	3908 6240 932 932 	2813 1330 8956 2652 	3929 6261 953 953 	2825 1342 8968 2664 	32 32 32 32 	40 40 40 40 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2989 2890 2644 	244 	2989 2890 2644 	244 	53 53 53 	52 
ENST00000307980 ENST00000535644 	ENST00000358239 	1993 1497 	958 	1993 1497 	958 	53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	103 101 243 	3760 	103 101 243 	52 	52 52 52 
ENST00000413658 	ENST00000477297 	1138 	636 	1146 	636 	45 	50 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	391 	628 637 641 523 	391 	628 637 641 523 	53 	53 53 53 53 
ENST00000514253 	ENST00000511844 	495 	137 	497 	137 	51 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2987 2888 2642 	238 	2988 2889 2643 	238 	52 52 52 	52 
ENST00000589243 ENST00000533058 	ENST00000525372 ENST00000524428 ENST00000525039 ENST00000586306 ENST00000587792 ENST00000590663 	633 633 	1208 1346 1600 1207 1345 1599 	633 633 	1208 1346 1600 1207 1345 1599 	53 53 	53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4152 	45 66 45 	4152 	45 66 45 	49 	52 52 52 
ENST00000307259 	ENST00000508716 	1478 	2079 	1478 	2079 	52 	53 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	234 59 	443 	234 59 	53 	53 53 
ENST00000449131 	ENST00000263574 ENST00000338167 ENST00000278756 ENST00000525604 ENST00000543137 	3779 	2930 2879 2897 1331 2897 	3779 	2930 2879 2897 1331 2897 	53 	52 52 52 52 52 
ENST00000428206 ENST00000575600 ENST00000602348 ENST00000602283 	ENST00000411631 ENST00000575410 	2163 2163 1665 1665 	3008 3008 	2169 2169 1671 1671 	3008 3008 	47 47 47 47 	53 53 
