ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	396 1747 2055 493 4526 	1902 	396 1747 2055 493 4526 	1902 	53 53 53 53 53 	53 
ENST00000361681 	ENST00000361567 	469 	1693 	469 	1693 	53 	53 
ENST00000323981 	ENST00000531404 	2372 	2222 	2372 	2222 	52 	52 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4142 	112 110 312 112 112 	4142 	112 110 312 112 112 	53 	53 53 53 53 53 
ENST00000496760 ENST00000593682 ENST00000311437 ENST00000373036 	ENST00000450820 ENST00000460193 ENST00000474104 	633 981 2203 4371 	486 2307 2262 	639 987 2209 4377 	493 2314 2269 	37 37 37 37 	46 46 46 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3470 	798 331 349 215 213 554 354 386 354 331 	3470 	798 331 349 215 213 554 354 386 354 331 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000468720 	ENST00000336798 	2617 	6255 	2628 	6255 	33 	45 
ENST00000514253 	ENST00000510019 ENST00000511844 	486 	109 68 	486 	109 68 	51 	53 53 
ENST00000484377 ENST00000468874 ENST00000573757 ENST00000573907 	ENST00000545369 ENST00000573887 	290 638 290 638 	633 633 	290 638 290 638 	633 633 	51 51 51 51 	53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	355 	657 666 670 552 	359 	657 666 670 552 	47 	53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1154 1171 	243 194 	1154 1171 	243 194 	52 52 	52 52 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000525054 	3750 	1375 1492 315 	3750 	1375 1492 315 	53 	53 53 53 
ENST00000466183 	ENST00000595527 	248 	1345 	248 	1359 	52 	31 
ENST00000361681 ENST00000506002 	ENST00000361567 	412 412 	1737 	412 412 	1737 	53 53 	53 
ENST00000361567 	ENST00000383811 	1025 	540 	1029 	540 	47 	53 
ENST00000551944 	ENST00000295269 ENST00000355520 ENST00000261200 	3533 	3856 7036 6631 	3533 	3856 7036 6631 	52 	53 53 53 
ENST00000361961 ENST00000544797 ENST00000361418 ENST00000541463 ENST00000395670 	ENST00000301740 ENST00000574593 ENST00000572883 ENST00000573311 ENST00000571041 ENST00000570705 ENST00000576878 	2213 1882 1848 1793 2252 	8329 802 682 228 119 264 298 	2217 1886 1852 1797 2256 	8329 802 682 228 119 264 298 	32 32 32 32 32 	53 53 53 53 53 53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	394 	601 610 614 496 	394 	601 610 614 496 	44 	53 53 53 53 
ENST00000549558 	ENST00000547666 	2174 	1089 	2174 	1089 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	302 	1109 1126 	302 	53 53 	53 
ENST00000514253 	ENST00000511844 	498 	104 	498 	104 	53 	53 
ENST00000524833 ENST00000520099 ENST00000373816 ENST00000321276 ENST00000381680 	ENST00000462546 	411 216 2857 3204 1501 	936 	422 227 2868 3215 1512 	949 	41 41 41 41 41 	39 
ENST00000514253 	ENST00000510019 ENST00000511844 	446 	129 88 	446 	129 88 	52 	52 52 
