ENST00000530238 	ENST00000528006 	941 	8 	942 	8 	46 	53 
ENST00000550703 ENST00000546643 ENST00000478122 	ENST00000522378 ENST00000397418 	986 768 948 	2448 2448 	998 780 960 	2448 2448 	40 40 40 	32 32 
ENST00000369145 ENST00000584087 	ENST00000326597 	2681 2681 	120 	2682 2682 	120 	52 52 	42 
ENST00000011619 ENST00000469916 ENST00000539980 	ENST00000600057 	1898 278 1289 	156 	1898 278 1289 	156 	51 51 51 	53 
ENST00000411562 ENST00000426970 ENST00000571071 	ENST00000515340 	132 132 132 	480 	150 150 150 	484 	35 35 35 	49 
ENST00000463934 	ENST00000358053 ENST00000313733 ENST00000471817 ENST00000568490 ENST00000485437 ENST00000602059 ENST00000356542 ENST00000470153 ENST00000302764 ENST00000396872 ENST00000320892 ENST00000299084 ENST00000573077 ENST00000368841 ENST00000458013 ENST00000368843 ENST00000419988 ENST00000553632 ENST00000590730 ENST00000450067 ENST00000395957 ENST00000594998 ENST00000392876 ENST00000262644 ENST00000436137 ENST00000454964 ENST00000599386 ENST00000571669 ENST00000263092 ENST00000567998 ENST00000608988 ENST00000366384 ENST00000553159 	704 	2767 2803 1493 84 588 76 503 516 2553 4754 4521 5579 71 4734 4071 4848 67 137 1610 1605 3505 316 3037 3367 931 326 3456 3149 3272 2340 1509 68 57 	712 	2767 2803 1493 84 588 76 503 516 2553 4754 4521 5579 71 4734 4071 4848 67 137 1610 1605 3505 316 3037 3367 931 326 3456 3149 3272 2340 1509 68 57 	45 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000339474 	ENST00000579913 	2538 	2157 	2543 	2157 	46 	37 
ENST00000380189 ENST00000551757 ENST00000548942 ENST00000548393 	ENST00000305141 	1119 286 387 85 	2075 	1140 307 408 106 	2075 	32 32 32 32 	45 
ENST00000602666 	ENST00000493254 	2488 	2289 	2496 	2289 	45 	53 
ENST00000549291 	ENST00000589272 ENST00000393233 	472 	1062 1062 	472 	1064 1064 	53 	49 49 
ENST00000429412 ENST00000546113 	ENST00000392857 	1585 1585 	4529 	1585 1585 	4529 	53 53 	39 
ENST00000523988 ENST00000521072 ENST00000424445 ENST00000581287 ENST00000378122 ENST00000295030 ENST00000608334 	ENST00000341446 ENST00000534382 ENST00000541730 ENST00000570983 ENST00000458350 ENST00000272462 ENST00000328914 ENST00000583384 ENST00000498702 ENST00000469733 ENST00000483959 ENST00000216099 ENST00000593019 ENST00000596217 ENST00000381486 ENST00000396123 ENST00000234142 ENST00000361740 ENST00000396303 ENST00000607474 ENST00000608895 ENST00000578895 ENST00000496942 ENST00000482969 ENST00000497738 ENST00000510199 ENST00000549999 	1744 3138 3042 255 5208 3200 5208 	3335 66 2021 1157 304 1880 8101 39 604 226 50 225 656 1201 7413 4225 7375 2454 2438 300 255 914 2105 1450 1435 104 456 	1744 3138 3042 255 5208 3200 5208 	3335 66 2021 1157 304 1880 8101 39 604 226 50 225 656 1201 7413 4225 7375 2454 2438 300 255 914 2105 1450 1435 104 456 	53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000521405 	ENST00000558264 ENST00000414802 ENST00000221444 ENST00000376497 ENST00000594204 ENST00000391750 ENST00000424807 ENST00000305513 ENST00000481347 ENST00000604207 ENST00000605232 ENST00000575959 ENST00000571923 ENST00000575296 ENST00000570726 ENST00000576704 ENST00000608143 ENST00000605489 ENST00000604151 	174 	739 1475 3673 602 464 2599 2573 3030 1469 2599 2573 2599 2573 2599 2573 2573 2576 2618 2627 	189 	739 1475 3673 602 464 2599 2573 3030 1469 2599 2573 2599 2573 2599 2573 2573 2576 2618 2627 	38 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000309955 ENST00000544076 	ENST00000599809 ENST00000601706 ENST00000594734 ENST00000598562 ENST00000553258 ENST00000569239 ENST00000411432 ENST00000557832 ENST00000442514 ENST00000551364 ENST00000597084 ENST00000594612 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	3733 1434 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	3733 1434 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	53 53 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000309955 ENST00000544076 	ENST00000599809 ENST00000601706 ENST00000594734 ENST00000598562 ENST00000553258 ENST00000569239 ENST00000411432 ENST00000557832 ENST00000442514 ENST00000551364 ENST00000597084 ENST00000594612 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	3733 1434 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	3733 1434 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	53 53 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000383718 	ENST00000504771 	6461 	5964 	6461 	5977 	43 	31 
ENST00000414130 	ENST00000430198 ENST00000415560 ENST00000374117 	181 	237 237 237 	181 	246 246 246 	31 	42 42 42 
ENST00000599517 	ENST00000442313 	1427 	157 	1427 	168 	39 	34 
ENST00000533138 ENST00000529548 ENST00000425761 ENST00000406984 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	ENST00000498161 ENST00000599364 	767 505 318 151 323 523 323 355 323 	380 380 	767 505 318 151 323 523 323 355 323 	380 380 	52 52 52 52 52 52 52 52 52 	53 53 
ENST00000344836 ENST00000563961 ENST00000381886 ENST00000565455 ENST00000563085 ENST00000542333 ENST00000535863 	ENST00000579226 ENST00000217652 ENST00000578611 ENST00000580887 ENST00000578038 ENST00000536605 ENST00000237500 ENST00000581193 ENST00000400175 ENST00000584539 	891 690 760 879 861 713 879 	566 839 639 510 183 510 791 830 606 645 	891 690 760 879 861 713 879 	566 839 639 510 183 510 791 830 606 645 	53 53 53 53 53 53 53 	52 52 52 52 52 52 52 52 52 52 
