ENST00000492378 	ENST00000288167 ENST00000475124 ENST00000494338 	677 	836 1860 783 	696 	856 1880 803 	33 	33 33 33 
ENST00000551944 ENST00000261200 ENST00000392857 	ENST00000309955 	3191 7342 5383 	8077 	3191 7342 5383 	8077 	52 52 52 	34 
ENST00000532572 	ENST00000394458 ENST00000404085 	5090 	3111 2974 	5097 	3114 2977 	31 	39 39 
ENST00000395004 ENST00000414130 	ENST00000430198 ENST00000415560 ENST00000374117 	387 144 	218 218 218 	387 144 	218 218 218 	52 52 	53 53 53 
ENST00000510760 	ENST00000591037 	2103 	1881 	2103 	1881 	46 	34 
ENST00000502609 ENST00000420675 ENST00000416803 ENST00000440782 	ENST00000605464 ENST00000444451 ENST00000443330 	365 354 369 371 	449 39 471 	365 354 369 371 	449 39 471 	53 53 53 53 	53 53 53 
ENST00000334567 	ENST00000409562 ENST00000493254 	1181 	2733 2052 	1189 	2733 2052 	34 	53 53 
ENST00000441159 ENST00000309733 ENST00000506474 ENST00000518152 ENST00000519167 	ENST00000394511 ENST00000312675 ENST00000543006 	5430 6655 184 452 242 	296 13470 13413 	5430 6655 184 452 242 	296 13470 13413 	31 31 31 31 31 	51 51 51 
ENST00000357186 	ENST00000573028 ENST00000446250 	447 	2864 2864 	455 	2869 2869 	35 	32 32 
ENST00000524666 	ENST00000539739 	2681 	322 	2682 	334 	32 	41 
ENST00000561645 ENST00000564146 ENST00000379380 ENST00000238831 ENST00000389677 	ENST00000493896 	843 927 4391 9801 10257 	481 	853 937 4401 9811 10267 	484 	42 42 42 42 42 	48 
ENST00000321521 ENST00000582452 ENST00000456523 ENST00000355520 ENST00000354232 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000478538 ENST00000558583 ENST00000489060 ENST00000518152 	7800 321 5104 7188 1351 1227 6783 1032 1032 	10 5709 1597 350 	7800 321 5104 7188 1351 1227 6783 1032 1032 	10 5709 1597 350 	53 53 53 53 53 53 53 53 53 	51 51 51 51 
ENST00000540225 ENST00000256594 	ENST00000557552 	2314 2232 	2366 	2314 2232 	2366 	53 53 	35 
ENST00000262848 ENST00000481439 ENST00000370205 	ENST00000496060 ENST00000486857 ENST00000468856 ENST00000482731 ENST00000437048 ENST00000367996 	3909 457 1535 	5201 -17 3505 272 5896 5280 	3909 457 1535 	5223 5 3527 294 5918 5302 	39 39 39 	31 31 31 31 31 31 
ENST00000223073 ENST00000489060 	ENST00000564458 ENST00000564795 	15241 1234 	940 940 	15242 1235 	940 940 	52 52 	52 52 
ENST00000593264 	ENST00000336505 ENST00000573981 ENST00000585690 ENST00000399602 ENST00000005082 ENST00000526601 ENST00000528218 ENST00000529789 ENST00000525313 ENST00000533036 ENST00000529228 ENST00000526540 ENST00000526598 ENST00000534569 ENST00000395530 ENST00000357949 ENST00000446505 ENST00000525350 ENST00000533903 ENST00000409623 ENST00000432854 ENST00000467153 ENST00000588224 ENST00000449592 ENST00000541467 ENST00000538055 ENST00000414696 ENST00000291547 ENST00000528349 ENST00000460798 ENST00000409401 ENST00000427245 ENST00000389617 ENST00000376200 ENST00000380586 ENST00000519096 ENST00000380587 ENST00000370661 ENST00000417486 ENST00000414473 ENST00000488630 ENST00000609129 ENST00000462546 ENST00000459993 ENST00000431842 ENST00000518219 ENST00000317370 ENST00000572485 ENST00000303575 ENST00000366249 	59 	3380 729 880 386 335 445 494 206 360 428 228 221 319 608 5694 1757 1854 2428 2897 238 3659 729 880 2586 2357 436 1477 3498 441 1844 1657 691 2483 865 1913 1701 1527 3647 1118 1854 321 9506 1054 4279 6711 2642 2510 2503 3409 22 	59 	3401 750 901 407 356 466 515 227 381 449 249 242 340 629 5715 1778 1875 2449 2918 259 3680 750 901 2607 2378 457 1498 3519 462 1865 1678 712 2504 886 1934 1722 1548 3668 1139 1875 342 9527 1075 4300 6732 2663 2531 2524 3430 43 	36 	32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 
ENST00000480304 	ENST00000546220 ENST00000465173 	1978 	1424 1568 	1997 	1424 1568 	34 	38 38 
ENST00000448031 ENST00000599623 	ENST00000427534 	787 787 	6752 	789 789 	6753 	33 33 	51 
ENST00000598513 ENST00000333952 ENST00000508631 	ENST00000496760 ENST00000216039 ENST00000543450 ENST00000311128 ENST00000396825 	2763 2778 330 	676 2027 2388 3558 1768 	2766 2781 333 	676 2027 2388 3558 1768 	32 32 32 	50 50 50 50 50 
ENST00000343110 ENST00000467228 ENST00000599719 ENST00000601309 ENST00000377957 ENST00000508504 ENST00000378679 ENST00000319854 ENST00000371655 ENST00000238831 ENST00000366221 ENST00000567425 ENST00000564372 ENST00000565289 ENST00000563014 ENST00000496462 ENST00000395337 ENST00000307792 ENST00000491289 ENST00000587928 ENST00000589173 ENST00000269391 ENST00000319945 ENST00000377837 ENST00000470730 ENST00000338352 ENST00000305188 ENST00000227155 ENST00000524750 ENST00000560440 ENST00000527818 ENST00000325722 ENST00000373266 ENST00000369936 ENST00000438197 ENST00000416379 ENST00000339375 ENST00000450876 ENST00000345589 ENST00000574773 ENST00000399387 ENST00000317872 ENST00000489074 ENST00000510256 ENST00000605787 ENST00000413484 	ENST00000382021 ENST00000303525 ENST00000489047 ENST00000367561 	2629 2337 97 88 3490 131 3498 2848 1518 4117 740 2213 2347 3236 1962 1374 4284 6189 4098 1460 349 2802 2671 920 1972 1253 3607 1407 529 2470 1600 3893 2096 2782 1448 2213 2347 3236 1962 2491 638 2272 486 486 385 425 	3113 3017 3190 1838 	2629 2337 97 88 3490 131 3498 2848 1518 4117 740 2213 2347 3236 1962 1374 4284 6189 4098 1460 349 2802 2671 920 1972 1253 3607 1407 529 2470 1600 3893 2096 2782 1448 2213 2347 3236 1962 2491 638 2272 486 486 385 425 	3113 3017 3190 1838 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 
ENST00000340738 ENST00000557061 ENST00000555700 ENST00000559759 ENST00000427855 ENST00000381166 ENST00000311128 	ENST00000358361 	4597 2492 3448 1777 4678 4274 3498 	1633 	4597 2492 3448 1777 4678 4274 3498 	1651 	41 41 41 41 41 41 41 	35 
ENST00000463390 ENST00000375258 ENST00000597695 ENST00000595607 ENST00000315849 ENST00000531616 	ENST00000469412 	2698 3459 1853 2194 1924 1861 	2202 	2698 3459 1853 2194 1924 1861 	2206 	35 35 35 35 35 35 	32 
ENST00000356609 	ENST00000557366 	3217 	3321 	3232 	3324 	34 	35 
ENST00000448322 ENST00000531806 ENST00000529253 ENST00000528089 ENST00000528684 	ENST00000458008 ENST00000427587 ENST00000585436 ENST00000587161 ENST00000587608 ENST00000587133 	908 203 365 1021 941 	925 1047 723 998 408 798 	908 203 365 1021 941 	928 1050 726 1001 411 801 	52 52 52 52 52 	50 50 50 50 50 50 
ENST00000550466 ENST00000553262 	ENST00000411432 	649 649 	3779 	649 649 	3779 	53 53 	53 
ENST00000261435 ENST00000511480 ENST00000513269 ENST00000440421 	ENST00000413017 ENST00000432564 ENST00000373586 	6591 6595 5063 156 	395 2889 1135 	6609 6613 5081 174 	416 2910 1156 	35 35 35 35 	32 32 32 
ENST00000554750 	ENST00000329627 ENST00000466863 	500 	7337 563 	500 	7337 563 	31 	51 51 
ENST00000433619 ENST00000589046 ENST00000529555 ENST00000544867 	ENST00000314992 ENST00000558881 ENST00000366847 ENST00000506530 ENST00000509524 ENST00000326866 ENST00000421177 ENST00000571995 ENST00000571880 ENST00000465342 	600 2426 2836 3272 	2512 1873 3429 1126 1907 2073 143 1953 3 3143 	600 2426 2836 3272 	2512 1873 3429 1126 1907 2073 143 1953 3 3143 	35 35 35 35 	53 53 53 53 53 53 53 53 53 53 
ENST00000470108 	ENST00000392869 	163 	6927 	163 	6927 	44 	52 
ENST00000579094 	ENST00000570478 	335 	502 	348 	502 	39 	52 
ENST00000570505 ENST00000317968 ENST00000514743 ENST00000380176 ENST00000437932 	ENST00000567301 ENST00000567627 ENST00000463826 ENST00000392552 ENST00000447683 ENST00000543095 ENST00000551414 ENST00000389961 ENST00000439348 ENST00000439727 ENST00000450185 ENST00000608382 ENST00000296506 ENST00000280987 ENST00000396472 ENST00000301215 ENST00000267890 ENST00000496462 ENST00000582365 ENST00000532619 ENST00000358689 ENST00000360418 ENST00000263256 ENST00000463920 ENST00000355468 ENST00000484247 ENST00000393928 ENST00000361677 ENST00000370389 ENST00000449584 ENST00000427104 ENST00000355011 ENST00000457265 ENST00000588555 ENST00000294485 ENST00000345317 ENST00000462286 ENST00000595645 ENST00000301272 ENST00000469023 ENST00000589856 ENST00000601013 ENST00000401486 ENST00000496255 ENST00000525797 ENST00000586565 ENST00000380775 ENST00000603850 	344 3172 3167 2929 2860 	2386 1467 2027 6128 1686 6972 2980 6769 6544 5985 1821 7414 2910 1998 2327 3522 9008 1594 2834 1995 2438 2373 2225 2288 2385 1467 2202 2294 814 178 777 372 336 1393 3552 2318 542 1026 1076 1155 1108 1995 3004 272 1511 1341 1282 1341 	344 3172 3167 2929 2860 	2408 1489 2049 6150 1708 6994 3002 6791 6566 6007 1843 7436 2932 2020 2349 3544 9030 1616 2856 2017 2460 2395 2247 2310 2407 1489 2224 2316 836 200 799 394 358 1415 3574 2340 564 1048 1098 1177 1130 2017 3026 294 1533 1363 1304 1363 	37 37 37 37 37 	31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 
ENST00000400000 ENST00000340541 ENST00000584796 ENST00000583879 ENST00000583475 ENST00000577539 	ENST00000563131 	798 873 515 497 466 2927 	576 	798 873 515 497 466 2927 	576 	37 37 37 37 37 37 	53 
ENST00000591280 	ENST00000320805 ENST00000596755 ENST00000486155 ENST00000395699 ENST00000373191 ENST00000221957 ENST00000592528 ENST00000589163 ENST00000317697 ENST00000536549 	270 	4169 1113 2928 6242 11505 2014 1863 1410 1660 1656 	286 	4169 1113 2928 6242 11505 2014 1863 1410 1660 1656 	37 	37 37 37 37 37 37 37 37 37 37 
ENST00000392385 ENST00000604604 ENST00000295025 	ENST00000550977 ENST00000600751 	1063 1187 8813 	2168 2599 	1064 1188 8814 	2168 2599 	52 52 52 	35 35 
ENST00000510559 	ENST00000369580 	317 	3204 	317 	3220 	32 	36 
ENST00000587548 ENST00000586022 	ENST00000448648 ENST00000284414 	2706 2706 	4414 3183 	2706 2706 	4430 3199 	53 53 	32 32 
ENST00000451353 	ENST00000561183 	132 	46 	151 	46 	34 	53 
ENST00000250092 ENST00000380498 	ENST00000582151 ENST00000250124 ENST00000572936 ENST00000571822 ENST00000396501 ENST00000571391 ENST00000578267 ENST00000585188 ENST00000359822 ENST00000580708 ENST00000580834 ENST00000572836 ENST00000577088 ENST00000584378 ENST00000423172 ENST00000576066 ENST00000584479 ENST00000572719 ENST00000579445 ENST00000581886 ENST00000575256 ENST00000570458 ENST00000585217 ENST00000576272 ENST00000581380 ENST00000574558 	1825 1720 	382 264 245 90 83 63 63 63 62 59 59 59 59 59 58 51 51 51 49 46 41 37 36 26 18 16 	1827 1722 	389 271 252 97 90 70 70 70 69 66 66 66 66 66 65 58 58 58 56 53 48 44 43 33 25 23 	49 49 	46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 
ENST00000538183 ENST00000309733 ENST00000478538 ENST00000476192 ENST00000518152 ENST00000497426 ENST00000474698 	ENST00000606080 ENST00000354232 ENST00000489060 	7192 6620 77 4681 417 4681 4680 	3694 1809 1843 	7192 6620 77 4681 417 4681 4680 	3707 1822 1856 	48 48 48 48 48 48 48 	40 40 40 
ENST00000492999 	ENST00000450504 ENST00000426791 	278 	424 424 	278 	424 424 	53 	53 53 
ENST00000429656 ENST00000417944 ENST00000451967 ENST00000580020 	ENST00000428199 	425 425 425 425 	467 	443 443 443 443 	467 	33 33 33 33 	53 
ENST00000362079 	ENST00000361227 	753 	31 	753 	31 	31 	53 
ENST00000419932 	ENST00000471694 ENST00000355354 	242 	5638 3863 	242 	5638 3863 	50 	33 33 
ENST00000608326 	ENST00000558207 	425 	3458 	425 	3458 	32 	47 
ENST00000508075 ENST00000409562 ENST00000604604 ENST00000261200 	ENST00000493254 	872 2669 1022 7201 	2066 	882 2679 1032 7211 	2066 	42 42 42 42 	53 
ENST00000503599 	ENST00000371754 ENST00000593580 ENST00000309660 ENST00000591497 ENST00000267615 ENST00000354313 	454 	5082 508 3257 3329 4940 1677 	454 	5099 525 3274 3346 4957 1694 	31 	36 36 36 36 36 36 
ENST00000309784 ENST00000461206 ENST00000601467 ENST00000488630 ENST00000557650 	ENST00000398738 ENST00000543600 ENST00000444614 ENST00000536991 ENST00000461350 ENST00000411857 	2642 32 216 190 665 	1841 1832 1665 343 1257 4782 	2642 32 216 190 665 	1841 1832 1665 343 1257 4782 	53 53 53 53 53 	52 52 52 52 52 52 
ENST00000369135 ENST00000461102 ENST00000471041 ENST00000298281 	ENST00000507381 	6824 1404 7 7371 	1344 	6827 1407 10 7374 	1344 	32 32 32 32 	41 
ENST00000257181 ENST00000572515 ENST00000509705 ENST00000392079 ENST00000336418 	ENST00000481245 	3508 1649 1565 1570 3702 	307 	3508 1649 1565 1570 3702 	307 	53 53 53 53 53 	51 
ENST00000333139 	ENST00000395148 	1325 	3959 	1325 	3959 	52 	45 
ENST00000362079 	ENST00000361227 	603 	74 	604 	74 	52 	53 
ENST00000489060 ENST00000310613 ENST00000392857 	ENST00000358637 	3371 4575 5296 	832 	3371 4575 5296 	838 	53 53 53 	44 
ENST00000366438 ENST00000533773 ENST00000445419 ENST00000557366 ENST00000476500 ENST00000361138 ENST00000411939 ENST00000375234 ENST00000446045 ENST00000527404 ENST00000450213 ENST00000415808 ENST00000418902 ENST00000573162 ENST00000571982 	ENST00000305626 ENST00000477789 	670 212 147 3081 3784 5259 1242 1591 1451 593 745 745 749 744 744 	1938 533 	682 224 159 3093 3796 5271 1254 1603 1463 605 757 757 761 756 756 	1938 533 	36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 	53 53 
ENST00000285116 ENST00000477789 ENST00000571751 ENST00000403197 ENST00000569626 ENST00000488761 	ENST00000216378 ENST00000531052 	1686 676 1686 788 1898 238 	576 136 	1687 677 1687 789 1899 239 	576 136 	52 52 52 52 52 52 	32 32 
ENST00000558540 ENST00000527509 ENST00000529068 ENST00000531308 	ENST00000366118 	141 91 101 137 	394 	141 91 101 137 	405 	35 35 35 35 	33 
ENST00000309733 ENST00000478538 ENST00000483793 	ENST00000606080 	6600 57 3800 	3549 	6600 57 3800 	3549 	53 53 53 	52 
ENST00000549614 ENST00000551208 ENST00000547690 ENST00000549902 ENST00000549654 ENST00000547695 ENST00000435534 ENST00000548023 	ENST00000518096 	1373 1373 1373 1373 1373 1373 770 1373 	1539 	1373 1373 1373 1373 1373 1373 770 1373 	1539 	53 53 53 53 53 53 53 53 	52 
ENST00000449695 ENST00000421591 	ENST00000414425 	1468 446 	982 	1468 446 	987 	53 53 	43 
ENST00000492999 	ENST00000450504 ENST00000426791 	278 	419 419 	278 	419 419 	53 	52 52 
ENST00000379562 ENST00000444614 ENST00000526038 ENST00000373014 ENST00000411857 	ENST00000541730 ENST00000526439 ENST00000374395 ENST00000484427 ENST00000471144 ENST00000378621 ENST00000372136 ENST00000356311 ENST00000361740 ENST00000396303 ENST00000578895 ENST00000521561 ENST00000600106 	5277 1513 1148 1617 4630 	1885 232 4261 3504 2001 8032 1367 1074 2318 2302 778 21 8032 	5277 1513 1148 1617 4630 	1885 232 4261 3504 2001 8032 1367 1074 2318 2302 778 21 8032 	42 42 42 42 42 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000309733 ENST00000394511 	ENST00000483793 	6729 309 	4009 	6746 326 	4012 	35 35 	40 
ENST00000309955 ENST00000544076 	ENST00000599809 ENST00000601706 ENST00000594734 ENST00000598562 ENST00000553258 ENST00000569239 ENST00000411432 ENST00000557832 ENST00000442514 ENST00000551364 ENST00000597084 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	3730 1431 	30 36 36 36 123 1398 2109 126 123 30 36 69 123 30 30 30 30 30 	3738 1439 	30 36 36 36 123 1398 2109 126 123 30 36 69 123 30 30 30 30 30 	45 45 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000414645 	ENST00000588534 	4623 	229 	4623 	242 	35 	31 
ENST00000307522 	ENST00000280193 	2651 	200 	2671 	200 	33 	53 
ENST00000309733 ENST00000604015 	ENST00000429412 ENST00000546113 ENST00000489060 ENST00000310613 ENST00000392857 	7654 452 	2043 2043 2759 3965 4683 	7654 452 	2043 2043 2759 3965 4683 	52 52 	40 40 40 40 40 
ENST00000392876 	ENST00000492502 ENST00000533958 	3091 	159 80 	3106 	159 80 	37 	53 53 
ENST00000321521 ENST00000558583 ENST00000408926 	ENST00000379558 ENST00000295269 ENST00000223073 	7795 5491 3039 	6548 4021 15395 	7796 5492 3040 	6548 4021 15395 	52 52 52 	53 53 53 
ENST00000538183 	ENST00000392857 	8434 	4893 	8453 	4912 	34 	33 
ENST00000474171 ENST00000425147 	ENST00000495623 	437 469 	521 	437 469 	521 	52 52 	52 
ENST00000309955 	ENST00000599809 ENST00000601706 ENST00000551364 ENST00000398726 ENST00000412930 ENST00000439516 	3679 	87 93 87 126 87 87 	3683 	87 93 87 126 87 87 	47 	53 53 53 53 53 53 
ENST00000585896 	ENST00000472525 ENST00000595101 ENST00000425063 ENST00000394163 ENST00000494357 ENST00000419215 ENST00000424881 	1423 	411 1668 3613 3503 4778 3321 3645 	1434 	411 1668 3613 3503 4778 3321 3645 	36 	35 35 35 35 35 35 35 
ENST00000483793 	ENST00000476192 ENST00000558583 ENST00000489060 ENST00000497426 ENST00000474698 	4094 	5026 6118 2009 5026 5025 	4094 	5026 6118 2009 5026 5025 	53 	39 39 39 39 39 
ENST00000580201 	ENST00000309955 	383 	4875 	384 	4875 	52 	52 
ENST00000273980 ENST00000560444 ENST00000473014 ENST00000549235 ENST00000556292 ENST00000310389 	ENST00000481473 ENST00000350997 ENST00000584445 ENST00000381007 	7219 1360 2958 386 429 7725 	256 2232 444 3407 	7219 1360 2958 386 429 7725 	259 2235 447 3410 	53 53 53 53 53 53 	32 32 32 32 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000508075 ENST00000469632 ENST00000566753 ENST00000604604 	ENST00000381210 	2500 2500 721 695 802 1774 845 	1629 	2500 2500 721 695 802 1774 845 	1629 	52 52 52 52 52 52 52 	36 
ENST00000355237 ENST00000574259 	ENST00000393461 	3688 3691 	1131 	3702 3705 	1131 	39 39 	52 
ENST00000355237 ENST00000574259 	ENST00000393461 	3688 3691 	1131 	3702 3705 	1131 	39 39 	52 
ENST00000588552 	ENST00000467156 	5026 	93 	5028 	93 	37 	35 
ENST00000294489 ENST00000376057 	ENST00000529284 	2776 2473 	18 	2776 2473 	18 	35 35 	47 
ENST00000345044 ENST00000398356 ENST00000489322 ENST00000405340 ENST00000461809 ENST00000486907 	ENST00000432329 ENST00000353267 	1983 1925 1928 2268 2591 1895 	2899 2837 	1998 1940 1943 2283 2606 1910 	2914 2852 	38 38 38 38 38 38 	34 34 
