ENST00000256861 ENST00000568223 ENST00000422968 ENST00000394670 	ENST00000321844 	5890 3235 1453 3961 	4638 	5901 3246 1464 3972 	4638 	32 32 32 32 	53 
ENST00000296292 	ENST00000553645 ENST00000538158 	4798 	4112 48 	4807 	4116 52 	32 	31 31 
ENST00000309733 	ENST00000492999 ENST00000486695 ENST00000467671 	2944 	258 258 258 	2944 	274 274 274 	34 	35 35 35 
ENST00000394511 ENST00000483793 ENST00000223073 ENST00000463753 ENST00000310613 	ENST00000538183 ENST00000476192 ENST00000261200 ENST00000497426 ENST00000474698 	6 3609 15451 2915 2661 	7074 4563 6945 4563 4562 	6 3609 15451 2915 2661 	7075 4564 6946 4564 4563 	35 35 35 35 35 	51 51 51 51 51 
ENST00000570394 ENST00000359786 ENST00000438665 ENST00000575158 ENST00000361007 	ENST00000419810 	707 4300 4141 4047 3979 	1933 	719 4312 4153 4059 3991 	1933 	41 41 41 41 41 	38 
ENST00000309955 ENST00000544076 	ENST00000599809 ENST00000601706 ENST00000594734 ENST00000598562 ENST00000553258 ENST00000569239 ENST00000411432 ENST00000557832 ENST00000442514 ENST00000551364 ENST00000597084 ENST00000594612 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	3730 1431 	37 43 43 43 130 1405 2116 133 130 37 43 37 76 130 37 37 37 37 37 	3730 1431 	37 43 43 43 130 1405 2116 133 130 37 43 37 76 130 37 37 37 37 37 	53 53 	40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 
ENST00000380821 ENST00000357992 ENST00000380155 ENST00000422989 ENST00000393067 ENST00000468196 ENST00000399011 ENST00000340625 ENST00000356980 ENST00000459648 ENST00000591563 ENST00000468673 ENST00000579905 ENST00000592582 ENST00000338758 ENST00000463586 ENST00000426195 	ENST00000301178 ENST00000496726 	2094 2931 5312 2346 2753 4150 4004 1082 2257 984 3862 781 220 1895 2343 450 100 	3512 1856 	2094 2931 5312 2346 2753 4150 4004 1082 2257 984 3862 781 220 1895 2343 450 100 	3529 1873 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	36 36 
ENST00000538183 	ENST00000527057 ENST00000528239 ENST00000525295 ENST00000403374 	11737 	1061 1322 638 872 	11737 	1076 1337 653 887 	51 	31 31 31 31 
ENST00000549262 	ENST00000550135 	1067 	3154 	1086 	3161 	33 	31 
ENST00000309733 	ENST00000483793 ENST00000476192 ENST00000558583 ENST00000489060 ENST00000408926 ENST00000497426 ENST00000474698 	6235 	3499 4360 5455 1343 3003 4360 4359 	6238 	3499 4360 5455 1343 3003 4360 4359 	49 	53 53 53 53 53 53 53 
ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000354232 ENST00000282074 ENST00000564458 ENST00000564795 	ENST00000476192 ENST00000558583 ENST00000489060 ENST00000518152 ENST00000497426 ENST00000474698 	6543 4016 6348 329 5112 3548 1359 1235 1040 1040 	4603 5698 1586 339 4603 4602 	6543 4016 6348 329 5112 3548 1359 1235 1040 1040 	4603 5698 1586 339 4603 4602 	53 53 53 53 53 53 53 53 53 53 	38 38 38 38 38 38 
ENST00000400000 ENST00000340541 ENST00000584796 ENST00000583879 ENST00000583475 ENST00000577539 	ENST00000563131 	790 865 507 489 458 2919 	563 	790 865 507 489 458 2919 	563 	45 45 45 45 45 45 	53 
ENST00000540511 	ENST00000437578 	5065 	71 	5065 	74 	53 	50 
ENST00000558583 	ENST00000309733 ENST00000481729 ENST00000476192 ENST00000489060 ENST00000497426 ENST00000474698 	6047 	7175 498 5236 2219 5236 5235 	6047 	7175 498 5236 2219 5236 5235 	53 	53 53 53 53 53 53 
ENST00000444614 	ENST00000471841 ENST00000509093 ENST00000394964 	1615 	4964 155 114 	1615 	4964 155 114 	49 	46 46 46 
ENST00000444246 	ENST00000447261 	55 	858 	55 	858 	53 	53 
ENST00000309955 ENST00000553258 ENST00000442514 ENST00000548061 	ENST00000358230 ENST00000398726 	3682 14 14 14 	2890 14 	3682 14 14 14 	2890 14 	53 53 53 53 	52 52 
ENST00000439473 ENST00000438364 ENST00000411491 ENST00000312132 ENST00000446373 	ENST00000354617 	1394 1250 1339 1687 1452 	1783 	1394 1250 1339 1687 1452 	1790 	53 53 53 53 53 	46 
ENST00000442281 	ENST00000453518 	242 	453 	242 	453 	45 	53 
ENST00000309733 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 	ENST00000489060 	7040 5101 5101 3291 5100 801 789 	2175 	7040 5101 5101 3291 5100 801 789 	2175 	35 35 35 35 35 35 35 	53 
ENST00000485439 	ENST00000369291 	572 	2698 	574 	2710 	31 	31 
ENST00000439531 ENST00000451566 	ENST00000537473 ENST00000448157 	392 302 	1814 718 	392 302 	1814 718 	53 53 	53 53 
ENST00000264033 	ENST00000428457 	8182 	502 	8182 	513 	50 	41 
ENST00000449131 	ENST00000450993 ENST00000473443 ENST00000432688 ENST00000459791 	3367 	2814 2853 2813 3929 	3367 	2814 2853 2813 3929 	53 	52 52 52 52 
ENST00000604384 	ENST00000492836 	102 	224 	102 	236 	42 	32 
ENST00000589275 	ENST00000367161 ENST00000367162 ENST00000367160 	1690 	7068 7203 6213 	1703 	7073 7208 6218 	40 	31 31 31 
ENST00000521576 ENST00000297798 ENST00000411432 	ENST00000420650 	53 53 3353 	76 	53 53 3353 	76 	46 46 46 	33 
ENST00000358637 	ENST00000310613 	846 	4718 	850 	4718 	36 	52 
ENST00000309733 ENST00000394511 ENST00000478538 ENST00000483793 ENST00000473559 ENST00000489060 	ENST00000476192 ENST00000497426 	6601 181 58 3801 2112 1645 	4833 4833 	6601 181 58 3801 2112 1645 	4833 4833 	32 32 32 32 32 32 	52 52 
ENST00000518259 	ENST00000591551 	2020 	547 	2036 	563 	33 	37 
ENST00000481916 ENST00000584196 ENST00000580938 ENST00000582966 ENST00000553023 ENST00000476192 ENST00000504880 ENST00000497426 ENST00000581050 	ENST00000430083 ENST00000396275 ENST00000225724 	954 968 954 968 2 6067 895 6067 998 	362 89 1687 	954 968 954 968 2 6067 895 6067 998 	362 89 1687 	53 53 53 53 53 53 53 53 53 	49 49 49 
ENST00000558910 ENST00000467228 ENST00000545606 ENST00000598601 ENST00000382021 ENST00000303525 ENST00000473371 ENST00000295065 ENST00000549235 ENST00000556292 ENST00000366221 ENST00000489047 ENST00000550746 ENST00000396594 ENST00000539815 ENST00000410026 ENST00000522936 ENST00000517381 ENST00000264968 ENST00000393487 ENST00000409734 ENST00000547440 ENST00000552279 ENST00000470730 ENST00000338352 ENST00000527818 ENST00000301335 ENST00000493559 	ENST00000515066 	656 2355 6491 2079 3034 2938 1332 3464 227 270 758 3111 3688 2786 2622 9568 37 37 3245 3195 902 1618 620 1990 1271 1618 6636 969 	1459 	656 2355 6491 2079 3034 2938 1332 3464 227 270 758 3111 3688 2786 2622 9568 37 37 3245 3195 902 1618 620 1990 1271 1618 6636 969 	1459 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	36 
ENST00000397938 ENST00000331029 ENST00000479135 ENST00000469669 ENST00000483629 ENST00000360091 ENST00000332050 	ENST00000396821 ENST00000381633 ENST00000444597 	2443 2056 7074 2419 1607 1078 2233 	3143 3146 2005 	2443 2056 7074 2419 1607 1078 2233 	3143 3146 2005 	53 53 53 53 53 53 53 	53 53 53 
ENST00000299565 	ENST00000335251 ENST00000549743 ENST00000457665 	2754 	10798 495 865 	2761 	10817 514 884 	34 	34 34 34 
ENST00000458707 ENST00000317751 	ENST00000479069 ENST00000309733 ENST00000525752 ENST00000529201 ENST00000512234 ENST00000288266 	1301 2026 	373 8651 118 138 119 5423 	1301 2026 	373 8651 118 138 119 5423 	53 53 	53 53 53 53 53 53 
ENST00000295269 ENST00000355520 ENST00000261200 	ENST00000483793 ENST00000558583 ENST00000489060 ENST00000408926 	3861 7041 6636 	3506 5462 1350 3010 	3861 7041 6636 	3506 5462 1350 3010 	53 53 53 	53 53 53 53 
ENST00000403268 ENST00000376344 ENST00000314700 ENST00000580482 	ENST00000570989 	2752 1516 1143 1004 	2379 	2769 1533 1160 1021 	2379 	35 35 35 35 	53 
