ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000498161 ENST00000425761 ENST00000406984 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	321 339 172 344 544 344 376 344 321 	4148 	321 339 172 344 544 344 376 344 321 	4148 	51 51 51 51 51 51 51 51 51 	53 
ENST00000475608 ENST00000437246 	ENST00000592379 	203 206 	52 	203 206 	52 	52 52 	52 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	79 77 219 	4206 	79 77 219 	4206 	50 50 50 	53 
ENST00000595618 ENST00000594824 ENST00000597073 ENST00000397274 	ENST00000361567 	7284 7267 1759 7194 	977 	7284 7267 1759 7194 	977 	53 53 53 53 	52 
ENST00000536368 ENST00000432629 ENST00000393148 ENST00000314394 ENST00000432393 ENST00000599500 	ENST00000492999 ENST00000486695 ENST00000467671 	191 233 259 135 234 234 	278 278 278 	191 233 259 135 234 234 	278 278 278 	52 52 52 52 52 52 	53 53 53 
ENST00000462119 	ENST00000309733 ENST00000478538 ENST00000476192 ENST00000558583 ENST00000489060 ENST00000518152 ENST00000497426 ENST00000474698 	952 	6546 3 4607 5702 1590 343 4607 4606 	952 	6568 25 4629 5724 1612 365 4629 4628 	51 	31 31 31 31 31 31 31 31 
ENST00000297625 	ENST00000358776 	5648 	3205 	5665 	3209 	36 	49 
ENST00000243077 ENST00000556356 	ENST00000571968 	13420 3648 	341 	13420 3648 	341 	53 53 	53 
ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	331 349 215 213 554 354 386 354 331 	3776 	331 349 215 213 554 354 386 354 331 	3776 	53 53 53 53 53 53 53 53 53 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	199 199 	417 	199 199 	417 	52 52 	51 
ENST00000574872 	ENST00000520221 	720 	44 	720 	44 	53 	53 
ENST00000536368 ENST00000432629 ENST00000393148 ENST00000314394 ENST00000432393 ENST00000599500 	ENST00000492999 ENST00000486695 ENST00000467671 	189 231 257 133 232 232 	282 282 282 	189 231 257 133 232 232 	282 282 282 	51 51 51 51 51 51 	53 53 53 
ENST00000342505 	ENST00000402802 	1671 	1583 	1671 	1589 	53 	34 
ENST00000588814 ENST00000588641 	ENST00000562265 ENST00000307641 	53 57 	370 370 	53 57 	370 370 	53 53 	53 53 
ENST00000335179 ENST00000545072 	ENST00000463943 	148 91 	405 	148 91 	405 	53 53 	53 
ENST00000438163 	ENST00000420470 	2038 	3968 	2038 	3968 	44 	53 
