ENST00000462616 	ENST00000288167 ENST00000475124 ENST00000494338 	2509 	836 1860 783 	2509 	856 1880 803 	33 	33 33 33 
ENST00000464611 ENST00000331789 ENST00000425660 ENST00000462494 	ENST00000524124 ENST00000357668 	276 1478 1411 1811 	4825 5392 	276 1478 1411 1811 	4830 5397 	53 53 53 53 	33 33 
ENST00000598366 ENST00000601845 ENST00000593601 ENST00000595537 ENST00000594960 ENST00000599415 ENST00000601143 ENST00000597869 ENST00000597751 ENST00000598282 ENST00000598503 ENST00000331925 ENST00000573283 ENST00000575842 ENST00000576917 ENST00000574671 ENST00000576209 ENST00000575087 ENST00000576544 ENST00000572105 ENST00000576214 ENST00000571691 	ENST00000445946 ENST00000340934 	766 791 1046 672 478 504 810 683 714 817 628 766 791 1046 672 478 504 810 683 714 817 628 	3378 1979 	766 791 1046 672 478 504 810 683 714 817 628 766 791 1046 672 478 504 810 683 714 817 628 	3390 1991 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	32 32 
ENST00000398295 	ENST00000461526 	448 	445 	448 	445 	52 	52 
ENST00000394140 ENST00000465368 	ENST00000360954 	905 1369 	2197 	905 1369 	2200 	53 53 	32 
ENST00000471856 ENST00000579709 	ENST00000429276 	123 123 	429 	123 123 	429 	53 53 	53 
ENST00000242209 ENST00000455909 	ENST00000475445 	2700 1692 	2556 	2700 1692 	2556 	52 52 	34 
ENST00000312675 ENST00000543006 ENST00000476192 ENST00000558583 ENST00000497426 ENST00000474698 	ENST00000309955 	13382 13325 4689 5784 4689 4688 	8077 	13382 13325 4689 5784 4689 4688 	8077 	52 52 52 52 52 52 	34 
ENST00000507623 ENST00000380638 	ENST00000463943 	205 205 	408 	205 205 	408 	52 52 	53 
ENST00000491662 ENST00000463671 	ENST00000508814 ENST00000514253 	389 372 	282 213 	389 372 	282 213 	43 43 	53 53 
ENST00000434254 	ENST00000366553 	282 	3867 	302 	3871 	33 	32 
ENST00000546654 	ENST00000564755 	88 	191 	88 	191 	52 	52 
ENST00000484430 ENST00000398981 ENST00000451219 ENST00000555161 	ENST00000604922 	523 531 520 502 	265 	523 531 520 502 	265 	53 53 53 53 	53 
ENST00000559989 	ENST00000559668 ENST00000559990 ENST00000559654 ENST00000557980 	1621 	540 97 647 608 	1621 	541 98 648 609 	51 	49 49 49 49 
ENST00000536863 	ENST00000289292 ENST00000483955 ENST00000376020 ENST00000601085 ENST00000600171 ENST00000597854 	1931 	5929 598 9224 5929 9224 598 	1931 	5929 598 9224 5929 9224 598 	51 	41 41 41 41 41 41 
ENST00000498161 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	348 372 373 348 	3768 	348 372 373 348 	3768 	53 53 53 53 	52 
ENST00000416139 ENST00000475608 	ENST00000592379 	227 224 	60 	227 224 	60 	52 52 	53 
ENST00000446445 	ENST00000592379 	280 	7 	280 	7 	53 	53 
ENST00000434913 ENST00000517577 	ENST00000449131 	230 231 	4179 	230 231 	4179 	53 53 	50 
ENST00000432629 ENST00000393148 ENST00000481802 ENST00000431782 ENST00000433385 ENST00000588627 ENST00000471280 	ENST00000492999 ENST00000486695 ENST00000467671 	184 210 186 181 186 1960 176 	286 286 286 	184 210 186 181 186 1960 176 	286 286 286 	52 52 52 52 52 52 52 	52 52 52 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	159 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	159 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	50 
ENST00000463579 	ENST00000491969 	51 	162 	51 	162 	52 	52 
ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	ENST00000449131 	105 103 244 245 	4187 	105 103 244 245 	4187 	47 47 47 47 	52 
ENST00000461623 ENST00000567298 ENST00000446344 	ENST00000595527 	1493 3049 5409 	32 	1497 3053 5413 	38 	42 42 42 	38 
ENST00000457472 	ENST00000296805 	28 	19 	28 	19 	53 	53 
ENST00000361547 ENST00000374315 ENST00000354177 	ENST00000515834 	3597 3478 3495 	3744 	3597 3478 3495 	3744 	50 50 50 	37 
