ENST00000569239 	ENST00000550466 ENST00000553258 ENST00000442514 ENST00000553262 ENST00000398726 ENST00000548061 	1496 	93 370 370 93 316 370 	1496 	93 370 370 93 316 370 	52 	53 53 53 53 53 53 
ENST00000295269 ENST00000309733 ENST00000564458 ENST00000564795 	ENST00000394511 	3908 6240 932 932 	58 	3929 6261 953 953 	58 	32 32 32 32 	40 
ENST00000369707 	ENST00000465089 	3620 	3084 	3623 	3084 	34 	47 
ENST00000432899 	ENST00000428512 	131 	181 	131 	181 	50 	52 
ENST00000595499 	ENST00000255266 ENST00000508173 	242 	4657 4721 	242 	4678 4742 	53 	31 31 
ENST00000223073 	ENST00000564458 ENST00000564795 	15232 	937 937 	15232 	937 937 	52 	53 53 
ENST00000310613 ENST00000550534 ENST00000550321 	ENST00000538183 ENST00000476192 ENST00000497426 	3234 744 732 	7679 5170 5170 	3234 744 732 	7679 5170 5170 	53 53 53 	38 38 38 
ENST00000482827 	ENST00000357901 	421 	3392 	425 	3406 	47 	36 
ENST00000264893 ENST00000541121 	ENST00000576634 	4035 3864 	2890 	4056 3885 	2902 	32 32 	37 
ENST00000341976 ENST00000467567 	ENST00000284878 ENST00000341446 ENST00000524543 ENST00000528080 ENST00000397461 ENST00000336095 ENST00000329627 ENST00000422163 ENST00000446079 ENST00000471602 ENST00000477916 ENST00000374555 ENST00000602198 ENST00000449697 ENST00000526829 ENST00000320672 ENST00000356495 ENST00000328914 ENST00000428549 ENST00000585850 ENST00000221996 ENST00000419892 ENST00000343450 ENST00000565987 ENST00000562263 ENST00000471841 ENST00000581419 ENST00000467205 ENST00000254942 ENST00000566051 ENST00000603068 ENST00000462284 ENST00000258149 ENST00000356290 ENST00000540827 ENST00000428863 ENST00000518898 ENST00000498702 ENST00000377996 ENST00000469733 ENST00000574039 ENST00000570810 ENST00000327794 ENST00000483959 ENST00000468371 ENST00000558118 ENST00000340417 ENST00000510877 ENST00000442461 ENST00000446851 ENST00000395283 ENST00000395282 ENST00000287908 ENST00000394622 ENST00000451353 ENST00000581287 ENST00000360388 ENST00000569455 ENST00000518345 ENST00000583206 ENST00000370272 ENST00000392690 ENST00000475467 ENST00000496942 ENST00000482969 ENST00000497738 ENST00000374045 ENST00000489283 ENST00000481823 ENST00000539310 ENST00000510199 ENST00000243673 ENST00000462646 ENST00000596926 ENST00000343366 ENST00000487256 ENST00000367612 ENST00000598593 ENST00000599634 ENST00000594997 ENST00000605421 ENST00000560810 	3461 1797 	4469 3291 1738 1875 84 6174 7448 509 64 -3 1318 423 70 560 546 6058 3419 8057 1343 1223 1729 1647 2074 51 28 4895 65 74 1913 494 1895 2278 2098 1753 1678 1600 413 560 875 182 509 64 7588 6 2253 323 3752 3077 2991 2820 3107 3250 3982 3758 281 341 2802 103 109 244 5694 3142 426 2061 1406 1391 4579 172 165 165 60 2391 119 378 1003 927 4997 172 165 165 187 928 	3470 1806 	4477 3299 1746 1883 92 6182 7456 517 72 5 1326 431 78 568 554 6066 3427 8065 1351 1231 1737 1655 2082 59 36 4903 73 82 1921 502 1903 2286 2106 1761 1686 1608 421 568 883 190 517 72 7596 14 2261 331 3760 3085 2999 2828 3115 3258 3990 3766 289 349 2810 111 117 252 5702 3150 434 2069 1414 1399 4587 180 173 173 68 2399 127 386 1011 935 5005 180 173 173 195 936 	34 34 	45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 
ENST00000494870 	ENST00000355773 	570 	2716 	570 	2719 	46 	32 
