ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000397488 ENST00000324385 ENST00000566162 ENST00000397489 	ENST00000566296 	4519 4614 635 4517 	556 	4519 4614 635 4517 	556 	53 53 53 53 	52 
ENST00000314675 	ENST00000319041 	2090 	620 	2090 	620 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3472 	829 362 385 380 386 387 385 362 	3474 	829 362 385 380 386 387 385 362 	47 	53 53 53 53 53 53 53 53 
ENST00000371380 	ENST00000542765 ENST00000470985 ENST00000396076 ENST00000350669 	10110 	272 278 1138 903 	10111 	272 278 1138 903 	52 	35 35 35 35 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1107 1124 	231 182 	1108 1125 	231 182 	51 51 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2323 2224 1978 	245 	2323 2224 1978 	245 	53 53 53 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3044 2945 2699 	304 	3044 2945 2699 	304 	51 51 51 	52 
ENST00000550703 ENST00000546643 ENST00000478122 	ENST00000310613 	986 768 948 	3087 	998 780 960 	3108 	40 40 40 	32 
ENST00000257836 	ENST00000585004 	1003 	942 	1009 	942 	32 	53 
ENST00000381529 ENST00000381524 ENST00000355805 ENST00000486791 ENST00000355432 ENST00000498153 ENST00000432318 ENST00000417535 ENST00000361536 ENST00000501036 ENST00000307602 ENST00000495275 	ENST00000396496 ENST00000460090 ENST00000383374 ENST00000396499 ENST00000571019 ENST00000573254 	1538 1554 1120 1381 1338 824 1690 1496 1465 1331 6823 1283 	1853 1098 1544 1788 1098 1544 	1539 1555 1121 1382 1339 825 1691 1497 1466 1332 6824 1284 	1853 1098 1544 1788 1098 1544 	41 41 41 41 41 41 41 41 41 41 41 41 	53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2120 	630 	2120 	630 	51 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000514253 	ENST00000510019 	465 	200 	465 	200 	53 	52 
ENST00000556287 ENST00000482240 ENST00000475361 	ENST00000532627 ENST00000527422 ENST00000356386 ENST00000396948 ENST00000531055 ENST00000527639 ENST00000396934 	158 462 654 	533 1068 1058 1023 268 240 890 	158 462 654 	533 1068 1058 1023 268 240 890 	53 53 53 	53 53 53 53 53 53 53 
ENST00000514253 	ENST00000261303 ENST00000543772 ENST00000555787 ENST00000396338 	444 	974 794 928 886 	444 	974 794 928 886 	53 	52 52 52 52 
ENST00000375712 	ENST00000471694 ENST00000355354 	4720 	5524 3749 	4730 	5524 3749 	35 	53 53 
