ENST00000312675 ENST00000543006 ENST00000223073 ENST00000463753 ENST00000310613 	ENST00000309733 ENST00000478538 ENST00000476192 ENST00000558583 ENST00000489060 ENST00000518152 ENST00000497426 ENST00000474698 	13148 13091 15436 2900 2646 	6546 3 4607 5702 1590 343 4607 4606 	13149 13092 15437 2901 2647 	6568 25 4629 5724 1612 365 4629 4628 	51 51 51 51 51 	31 31 31 31 31 31 31 31 
ENST00000600466 	ENST00000398004 	2423 	3773 	2423 	3794 	34 	31 
ENST00000355568 ENST00000411432 ENST00000544076 	ENST00000309955 	2576 1918 1307 	3696 	2576 1918 1307 	3703 	51 51 51 	46 
ENST00000380155 	ENST00000582797 ENST00000367157 ENST00000461188 ENST00000293648 ENST00000448622 ENST00000382093 ENST00000366974 ENST00000366973 ENST00000525574 ENST00000527693 ENST00000311015 ENST00000380870 ENST00000538010 ENST00000371177 ENST00000577369 ENST00000576788 ENST00000442720 ENST00000412997 ENST00000460637 ENST00000469257 ENST00000526405 ENST00000599646 ENST00000307564 ENST00000374079 ENST00000493450 ENST00000553458 	4235 	863 2707 937 3365 3570 117 1438 1379 1255 777 1893 591 806 2302 863 27 1483 2376 777 1610 3203 1945 5899 2572 954 3399 	4248 	883 2727 957 3385 3590 137 1458 1399 1275 797 1913 611 826 2322 883 47 1503 2396 797 1630 3223 1965 5919 2592 974 3419 	37 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000448299 ENST00000343381 ENST00000358785 ENST00000301439 	ENST00000560444 ENST00000357578 ENST00000590197 	1453 1715 1654 1470 	1355 3747 1638 	1453 1715 1654 1470 	1356 3748 1639 	53 53 53 53 	34 34 34 
ENST00000494870 	ENST00000355773 	570 	2716 	570 	2719 	46 	32 
ENST00000432723 	ENST00000422015 ENST00000604452 ENST00000457191 ENST00000592994 ENST00000605013 	1812 	1955 1854 1852 1894 1866 	1812 	1955 1854 1852 1894 1866 	53 	53 53 53 53 53 
ENST00000410105 ENST00000423772 	ENST00000377957 ENST00000380167 ENST00000378387 ENST00000378395 ENST00000343259 ENST00000599056 ENST00000601421 ENST00000429604 ENST00000418871 ENST00000337530 ENST00000393978 	2833 309 	2543 1077 3084 2858 2719 3869 4337 3984 3867 5003 642 	2833 309 	2557 1091 3098 2872 2733 3883 4351 3998 3881 5017 656 	51 51 	39 39 39 39 39 39 39 39 39 39 39 
ENST00000538183 ENST00000321521 ENST00000312675 ENST00000543006 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 	ENST00000309733 ENST00000478538 ENST00000483793 ENST00000489060 ENST00000518152 	7061 7949 13243 13186 4550 4550 2741 4549 	6553 10 3753 1597 350 	7061 7949 13243 13186 4550 4550 2741 4549 	6553 10 3753 1597 350 	53 53 53 53 53 53 53 53 	51 51 51 51 51 
ENST00000312675 ENST00000543006 ENST00000489060 	ENST00000309733 ENST00000355520 	13467 13410 1757 	6760 7608 	13467 13410 1757 	6760 7608 	53 53 53 	52 52 
ENST00000587309 	ENST00000264436 ENST00000399215 ENST00000471259 ENST00000498089 ENST00000475687 ENST00000593682 ENST00000311437 ENST00000375095 ENST00000531346 ENST00000529187 ENST00000237536 ENST00000372824 ENST00000463586 ENST00000482587 ENST00000607267 ENST00000348993 	3568 	7069 735 167 2052 946 1586 2808 3175 2808 2959 10438 113 471 3330 7069 3192 	3568 	7069 735 167 2052 946 1586 2808 3175 2808 2959 10438 113 471 3330 7069 3192 	53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000469632 ENST00000409562 ENST00000493254 ENST00000566753 ENST00000604604 	ENST00000586722 ENST00000458297 ENST00000261200 	2494 2494 715 796 2486 1809 1768 839 	1574 1492 7103 	2494 2494 715 796 2486 1809 1768 839 	1574 1492 7103 	51 51 51 51 51 51 51 51 	52 52 52 
ENST00000355749 ENST00000466896 ENST00000467117 ENST00000492549 ENST00000491033 ENST00000490618 	ENST00000567995 	448 -6 -3 11 -3 15 	34 	465 11 14 28 14 32 	34 	36 36 36 36 36 36 	53 
ENST00000563588 	ENST00000608382 ENST00000397149 ENST00000560302 	2906 	3823 3123 2667 	2919 	3823 3123 2667 	40 	33 33 33 
ENST00000581966 ENST00000582797 ENST00000492328 ENST00000338040 ENST00000577369 ENST00000426548 ENST00000568935 	ENST00000418464 ENST00000414450 	351 792 329 3891 792 4867 329 	2345 2349 	351 792 329 3891 792 4867 329 	2345 2349 	53 53 53 53 53 53 53 	53 53 
