ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	391 	662 671 675 557 	391 	662 671 675 557 	53 	52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1107 1124 	310 261 	1107 1124 	310 261 	52 52 	51 51 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3079 2980 2734 	325 	3079 2980 2734 	325 	50 50 50 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3470 	815 348 371 366 372 373 571 371 371 348 	3470 	815 348 371 366 372 373 571 371 371 348 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000515098 ENST00000513162 	ENST00000502263 ENST00000514354 ENST00000511078 ENST00000510363 ENST00000335274 	3264 4022 	35 241 253 243 176 	3264 4022 	35 241 253 243 176 	53 53 	51 51 51 51 51 
ENST00000485660 	ENST00000586501 	27 	1074 	27 	1074 	43 	49 
ENST00000333396 	ENST00000495403 	4808 	480 	4808 	480 	52 	52 
ENST00000237837 	ENST00000256682 	1233 	3001 	1240 	3001 	34 	53 
ENST00000420470 	ENST00000463545 	3978 	1577 	3978 	1593 	51 	32 
ENST00000526743 	ENST00000534706 ENST00000530016 	1861 	560 378 	1861 	560 378 	53 	53 53 
ENST00000594552 	ENST00000589528 	942 	300 	942 	300 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	99 97 239 	3744 	99 97 239 	53 	53 53 53 
ENST00000256861 ENST00000568223 ENST00000422968 ENST00000394670 	ENST00000504771 	5890 3235 1453 3961 	3729 	5901 3246 1464 3972 	3729 	32 32 32 32 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3008 2909 2663 	189 318 	3008 2909 2663 	189 318 	53 53 53 	53 53 
ENST00000514253 	ENST00000511844 	513 	80 	513 	80 	52 	53 
ENST00000296292 	ENST00000449358 ENST00000439326 ENST00000577927 	4798 	333 4542 333 	4807 	351 4560 351 	32 	31 31 31 
ENST00000361681 ENST00000506002 	ENST00000361567 	416 416 	1744 	416 416 	1744 	53 53 	52 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3744 	213 95 93 235 213 	3744 	213 95 93 235 213 	53 	51 51 51 51 51 
ENST00000449131 	ENST00000492727 	4177 	104 	4177 	104 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000517577 ENST00000599364 	3743 	212 234 212 	3743 	212 234 212 	52 	50 50 50 
ENST00000514253 	ENST00000511844 	496 	101 	496 	101 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2980 2881 2635 	188 317 	2980 2881 2635 	188 317 	53 53 53 	53 53 
ENST00000376317 	ENST00000376322 ENST00000597997 	2757 	237 237 	2757 	237 237 	53 	52 52 
ENST00000332539 	ENST00000535217 	2761 	1315 	2761 	1315 	53 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	108 67 	484 	108 67 	53 	51 51 
ENST00000342039 ENST00000338938 ENST00000379430 	ENST00000559807 ENST00000559121 ENST00000400817 ENST00000316967 ENST00000561015 ENST00000560408 ENST00000557881 ENST00000436127 ENST00000456029 ENST00000560756 ENST00000559481 ENST00000560811 ENST00000357253 ENST00000442755 	2974 2974 2974 	488 488 606 614 139 329 706 282 378 460 374 649 614 378 	2977 2977 2977 	488 488 606 614 139 329 706 282 378 460 374 649 614 378 	50 50 50 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000242505 	ENST00000469143 	4357 	45 	4366 	45 	44 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	353 	81 24 	353 	81 24 	51 	52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	113 72 	484 	113 72 	53 	53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	372 	645 654 658 540 	372 	645 654 658 540 	51 	52 52 52 52 
ENST00000592379 	ENST00000475608 	66 	7 	66 	7 	53 	51 
ENST00000570630 ENST00000448504 	ENST00000592645 ENST00000590402 ENST00000591744 	3524 3524 	93 430 491 	3524 3524 	93 430 491 	53 53 	53 53 53 
ENST00000320934 	ENST00000529622 	4545 	395 	4545 	395 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	96 94 236 	3759 	96 94 236 	52 	53 53 53 
