ENST00000409508 ENST00000328843 	ENST00000373934 	14046 14067 	1756 	14046 14067 	1756 	48 48 	52 
ENST00000449131 	ENST00000492727 	4179 	68 	4179 	68 	53 	53 
ENST00000514253 	ENST00000510019 	473 	191 	473 	191 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	292 	1116 1133 	292 	53 53 	53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1082 1099 	203 241 	1082 1099 	203 241 	53 53 	53 53 
ENST00000592379 	ENST00000475608 	54 	6 	54 	6 	53 	52 
ENST00000314595 	ENST00000514062 ENST00000537922 	3693 	101 608 	3693 	101 608 	53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3469 	781 332 165 198 196 337 537 337 369 337 	3469 	781 332 165 198 196 337 537 337 369 337 	50 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000490491 ENST00000368276 ENST00000320139 ENST00000368279 ENST00000466489 ENST00000368277 ENST00000497069 ENST00000567140 ENST00000565805 	4143 	249 224 222 238 856 224 317 224 224 	4143 	249 224 222 238 856 224 317 224 224 	53 	53 53 53 53 53 53 53 53 53 
ENST00000594943 	ENST00000506609 ENST00000595560 ENST00000325134 	466 	59 261 240 	466 	59 261 240 	53 	53 53 53 
ENST00000419932 	ENST00000507959 ENST00000505365 ENST00000519973 ENST00000381779 	140 	603 713 1546 3190 	152 	617 727 1560 3204 	38 	38 38 38 38 
ENST00000312675 ENST00000543006 ENST00000223073 ENST00000463753 ENST00000310613 	ENST00000392385 ENST00000551944 ENST00000409562 ENST00000604604 ENST00000392857 ENST00000295025 	13148 13091 15436 2900 2646 	1120 3272 2891 1244 5464 8870 	13149 13092 15437 2901 2647 	1120 3272 2891 1244 5464 8870 	51 51 51 51 51 	31 31 31 31 31 31 
ENST00000592379 	ENST00000582736 	40 	86 	40 	86 	53 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	103 101 243 	3759 	103 101 243 	52 	52 52 52 
ENST00000340717 	ENST00000591037 	1600 	1430 	1600 	1442 	53 	33 
ENST00000508814 ENST00000514253 	ENST00000510019 	300 231 	228 	300 231 	228 	53 53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000355068 ENST00000575001 ENST00000441206 	1152 1169 	82 138 176 33 	1152 1169 	82 138 176 33 	53 53 	53 53 53 53 
ENST00000174618 	ENST00000269593 ENST00000542955 	4441 	1125 760 	4441 	1125 760 	33 	52 52 
ENST00000458008 ENST00000427587 ENST00000585436 	ENST00000340333 	1765 1887 1563 	438 	1765 1887 1563 	438 	52 52 52 	52 
ENST00000361681 ENST00000506002 	ENST00000361567 	428 428 	1744 	428 428 	1744 	53 53 	52 
ENST00000595927 	ENST00000489875 ENST00000480546 	7 	2603 2603 	7 	2603 2603 	52 	53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	460 	223 48 	460 	223 48 	53 	52 52 
ENST00000476499 ENST00000556831 ENST00000503660 ENST00000507252 ENST00000460798 	ENST00000361866 	1328 417 148 101 1350 	762 	1328 417 148 101 1350 	762 	53 53 53 53 53 	53 
ENST00000512512 ENST00000295666 	ENST00000246533 ENST00000589146 ENST00000587718 ENST00000590874 ENST00000588815 ENST00000588780 	689 1083 	1413 513 1056 772 966 889 	689 1083 	1433 533 1076 792 986 909 	53 53 	33 33 33 33 33 33 
ENST00000512158 ENST00000337225 	ENST00000321437 	642 857 	3885 	650 865 	3885 	44 44 	53 
ENST00000592379 	ENST00000437246 	54 	83 	54 	83 	53 	53 
ENST00000292174 	ENST00000283629 ENST00000447368 ENST00000283628 ENST00000467613 ENST00000481761 	4006 	961 593 685 18 247 	4006 	961 593 685 18 247 	53 	52 52 52 52 52 
