ENST00000574872 	ENST00000519266 ENST00000520221 	681 	194 34 	681 	194 34 	44 	53 53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	149 339 174 131 71 59 59 82 59 82 59 82 59 59 59 68 	154 	149 339 174 131 71 59 59 82 59 82 59 82 59 59 59 68 	154 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000558194 ENST00000460103 ENST00000482296 ENST00000492749 ENST00000482403 ENST00000398004 ENST00000498349 ENST00000466239 ENST00000483183 ENST00000447706 	ENST00000559007 ENST00000558064 ENST00000550597 ENST00000392876 ENST00000522833 ENST00000475135 ENST00000478791 ENST00000299163 ENST00000472961 	3688 383 383 384 384 1414 383 383 383 2197 	1800 199 16 3127 299 625 1065 10640 219 	3698 393 393 394 394 1424 393 393 393 2207 	1800 199 16 3127 299 625 1065 10640 219 	37 37 37 37 37 37 37 37 37 37 	46 46 46 46 46 46 46 46 46 
ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	321 339 172 205 203 344 544 344 376 344 321 	3795 	321 339 172 205 203 344 544 344 376 344 321 	3795 	52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000541730 ENST00000526439 ENST00000374395 ENST00000484427 ENST00000471144 ENST00000378621 ENST00000461350 ENST00000361740 ENST00000396303 ENST00000578895 ENST00000521561 ENST00000600106 	ENST00000562801 	1888 235 4264 3507 2004 8035 1183 2321 2305 781 24 8035 	972 	1888 235 4264 3507 2004 8035 1183 2321 2305 781 24 8035 	972 	53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000487273 ENST00000481873 ENST00000468065 ENST00000379917 	ENST00000533676 	2641 2459 2414 2495 	393 	2641 2459 2414 2495 	401 	53 53 53 53 	32 
ENST00000577961 ENST00000584307 ENST00000314574 	ENST00000472531 	3305 3390 3352 	776 	3312 3397 3359 	776 	46 46 46 	53 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	359 382 383 384 359 	3741 	359 382 383 384 359 	3741 	53 53 53 53 53 	53 
ENST00000221957 ENST00000592528 ENST00000589163 	ENST00000494434 	1920 1769 1316 	100 	1921 1770 1317 	100 	52 52 52 	34 
ENST00000536349 ENST00000535028 	ENST00000511987 	1861 724 	1155 	1879 742 	1173 	31 31 	34 
ENST00000327351 ENST00000378409 	ENST00000490638 	586 543 	3400 	586 543 	3400 	51 51 	51 
