ENST00000496760 ENST00000593682 ENST00000311437 ENST00000373036 	ENST00000559007 ENST00000558064 ENST00000550597 ENST00000392876 ENST00000522833 ENST00000475135 ENST00000478791 ENST00000299163 ENST00000472961 	633 981 2203 4371 	1800 199 16 3127 299 625 1065 10640 219 	639 987 2209 4377 	1800 199 16 3127 299 625 1065 10640 219 	37 37 37 37 	46 46 46 46 46 46 46 46 46 
ENST00000527076 ENST00000382021 ENST00000303525 ENST00000295065 ENST00000489047 ENST00000340344 ENST00000327441 ENST00000550746 ENST00000498273 ENST00000307792 ENST00000410026 ENST00000593919 ENST00000422247 ENST00000526185 	ENST00000562801 	888 3163 3067 3593 3240 4130 6569 3817 3352 6336 9697 1826 1959 1583 	972 	888 3163 3067 3593 3240 4130 6569 3817 3352 6336 9697 1826 1959 1583 	972 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000551944 	ENST00000392857 	3533 	5822 	3533 	5822 	52 	53 
ENST00000429412 ENST00000546113 ENST00000538183 ENST00000489060 ENST00000392857 	ENST00000606080 	2027 2027 8269 2743 4667 	4659 	2027 2027 8269 2743 4667 	4659 	51 51 51 51 51 	43 
ENST00000309733 ENST00000489060 	ENST00000295025 	7431 2475 	8157 	7431 2475 	8157 	53 53 	47 
ENST00000355568 	ENST00000358230 ENST00000309955 ENST00000569239 	2558 	2805 3651 1258 	2558 	2805 3651 1258 	52 	51 51 51 
ENST00000392385 ENST00000551944 ENST00000409562 ENST00000604604 ENST00000261200 ENST00000295025 ENST00000600751 	ENST00000475900 ENST00000315147 ENST00000527370 ENST00000263966 ENST00000257575 ENST00000300038 ENST00000436083 ENST00000432564 ENST00000570813 ENST00000263256 ENST00000324288 ENST00000570546 ENST00000442218 ENST00000551301 ENST00000488498 	1070 3222 2841 1194 7373 8820 2516 	4383 856 1418 6686 2127 781 2022 1761 242 1827 4066 4933 986 975 223 	1070 3222 2841 1194 7373 8820 2516 	4404 877 1439 6707 2148 802 2043 1782 263 1848 4087 4954 1007 996 244 	53 53 53 53 53 53 53 	32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 
ENST00000429412 ENST00000546113 ENST00000538183 ENST00000392857 	ENST00000309733 	2111 2111 8353 4751 	7922 	2125 2125 8367 4765 	7922 	31 31 31 31 	53 
ENST00000367069 	ENST00000383376 	3486 	1323 	3486 	1343 	36 	31 
ENST00000357164 	ENST00000499676 	1718 	5421 	1718 	5421 	36 	45 
ENST00000505264 	ENST00000337514 ENST00000456098 	208 	6153 6157 	217 	6153 6157 	44 	33 33 
ENST00000360121 ENST00000586020 	ENST00000609923 	3876 1539 	3304 	3876 1539 	3312 	40 40 	32 
ENST00000377957 ENST00000574474 ENST00000472200 ENST00000397333 ENST00000462829 ENST00000366221 ENST00000333703 ENST00000293272 ENST00000366113 ENST00000463941 ENST00000361183 ENST00000408966 ENST00000556123 ENST00000409734 ENST00000504669 ENST00000476121 ENST00000301439 ENST00000391743 ENST00000408959 ENST00000491193 ENST00000603197 ENST00000605140 ENST00000605509 ENST00000574314 ENST00000576928 ENST00000583900 ENST00000426371 	ENST00000504855 	3652 3731 2719 2863 1189 902 4389 798 677 663 2879 1496 3881 1047 2956 1351 1576 2490 1444 1291 798 677 663 2490 2573 2491 993 	309 	3652 3731 2719 2863 1189 902 4389 798 677 663 2879 1496 3881 1047 2956 1351 1576 2490 1444 1291 798 677 663 2490 2573 2491 993 	323 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	31 
ENST00000493196 ENST00000553901 	ENST00000583796 ENST00000582797 ENST00000328664 ENST00000579943 ENST00000577369 ENST00000341460 	1792 134 	38 1016 1898 38 1016 4160 	1805 147 	38 1016 1898 38 1016 4160 	40 40 	39 39 39 39 39 39 
ENST00000374045 	ENST00000296318 	4480 	6247 	4483 	6247 	50 	53 
ENST00000258439 	ENST00000430389 	5657 	183 	5666 	183 	40 	42 
ENST00000450479 	ENST00000445820 ENST00000428199 	130 	178 178 	130 	178 178 	53 	53 53 
ENST00000394511 ENST00000478538 ENST00000483793 ENST00000473559 	ENST00000538183 ENST00000489060 	180 57 3800 2111 	7254 1726 	180 57 3800 2111 	7254 1726 	40 40 40 40 	52 52 
ENST00000506793 ENST00000281543 ENST00000511493 	ENST00000366277 ENST00000595510 ENST00000409997 ENST00000289488 ENST00000324866 ENST00000462627 ENST00000374928 ENST00000555691 	2490 2802 878 	552 791 461 1863 1933 7421 3273 51 	2490 2802 878 	552 791 461 1863 1933 7421 3273 51 	34 34 34 	36 36 36 36 36 36 36 36 
ENST00000564458 ENST00000564795 	ENST00000478538 ENST00000476192 ENST00000355520 ENST00000558583 ENST00000489060 ENST00000518152 ENST00000497426 ENST00000474698 	944 944 	-1 4603 7390 5698 1586 339 4603 4602 	944 944 	0 4604 7391 5699 1587 340 4604 4603 	53 53 	51 51 51 51 51 51 51 51 
ENST00000492440 	ENST00000591619 ENST00000601437 	1290 	5799 225 	1290 	5799 225 	52 	43 43 
ENST00000309733 	ENST00000399273 ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 ENST00000285176 	6772 	6491 3225 5034 735 723 6488 	6772 	6491 3225 5034 735 723 6488 	53 	52 52 52 52 52 52 
ENST00000305368 ENST00000373816 	ENST00000559127 ENST00000591750 	1611 2373 	1311 2866 	1617 2379 	1323 2878 	47 47 	41 41 
ENST00000312675 ENST00000543006 ENST00000489060 	ENST00000309733 	13458 13401 1748 	6747 	13469 13412 1759 	6747 	42 42 42 	53 
ENST00000430198 	ENST00000395004 	208 	448 	208 	448 	53 	53 
ENST00000481463 	ENST00000565670 	363 	1405 	376 	1406 	33 	33 
ENST00000309955 ENST00000544076 	ENST00000599809 ENST00000601706 ENST00000553258 ENST00000569239 ENST00000442514 ENST00000551364 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000439516 	3734 1435 	89 95 182 1457 182 89 128 182 89 89 	3734 1435 	89 95 182 1457 182 89 128 182 89 89 	53 53 	53 53 53 53 53 53 53 53 53 53 
ENST00000610032 	ENST00000336798 	5842 	6295 	5842 	6297 	52 	33 
ENST00000442281 ENST00000429656 ENST00000417944 ENST00000451967 ENST00000450479 ENST00000580020 	ENST00000428199 	222 222 222 222 222 222 	467 	222 222 222 222 222 222 	467 	53 53 53 53 53 53 	53 
ENST00000592173 	ENST00000374747 ENST00000562205 ENST00000565243 ENST00000219596 ENST00000339854 ENST00000537682 ENST00000542898 ENST00000536980 ENST00000538326 ENST00000476500 ENST00000370474 	2347 	2694 487 2377 3035 2495 3153 3246 2520 3133 4152 988 	2365 	2698 491 2381 3039 2499 3157 3250 2524 3137 4156 992 	35 	31 31 31 31 31 31 31 31 31 31 31 
ENST00000378203 ENST00000378201 ENST00000378202 ENST00000378197 ENST00000441850 	ENST00000565795 	595 560 325 750 593 	2946 	595 560 325 750 593 	2962 	53 53 53 53 53 	32 
ENST00000493091 ENST00000401486 	ENST00000511248 ENST00000397006 	2250 121 	467 368 	2261 132 	489 390 	42 42 	31 31 
ENST00000309733 	ENST00000489060 ENST00000392857 	8232 	3370 5295 	8232 	3370 5295 	53 	52 52 
ENST00000367996 	ENST00000395811 ENST00000581989 	3898 	7757 389 	3898 	7757 389 	53 	45 45 
ENST00000400000 ENST00000340541 ENST00000584796 ENST00000583879 ENST00000583475 ENST00000577539 	ENST00000563131 	788 863 505 487 456 2917 	567 	788 863 505 487 456 2917 	567 	47 47 47 47 47 47 	53 
ENST00000579094 	ENST00000572638 	357 	905 	357 	906 	43 	51 
ENST00000497012 ENST00000600701 	ENST00000604437 	466 466 	208 	485 485 	208 	34 34 	52 
ENST00000310613 ENST00000550534 ENST00000550321 	ENST00000502413 ENST00000566753 	3252 762 750 	245 977 	3265 775 763 	245 977 	40 40 40 	53 53 
ENST00000511955 	ENST00000339994 ENST00000527958 ENST00000566042 	-1 	156 2034 870 	19 	176 2054 890 	32 	33 33 33 
ENST00000609136 	ENST00000335694 	1453 	70 	1453 	72 	52 	33 
ENST00000492999 	ENST00000450504 ENST00000426791 	278 	400 400 	278 	417 417 	53 	35 35 
ENST00000599517 	ENST00000512149 	311 	2687 	314 	2687 	37 	35 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000409562 ENST00000481617 ENST00000295025 	ENST00000476149 ENST00000555870 ENST00000502413 ENST00000492481 ENST00000550977 ENST00000604604 ENST00000518152 ENST00000519167 ENST00000406053 ENST00000556347 ENST00000229465 	2426 2426 647 2418 3891 8401 	2706 6436 1081 215 1775 884 542 332 1697 537 681 	2426 2426 647 2418 3891 8401 	2706 6436 1081 215 1775 884 542 332 1697 537 681 	50 50 50 50 50 50 	37 37 37 37 37 37 37 37 37 37 37 
ENST00000306984 ENST00000369985 ENST00000369981 ENST00000282841 ENST00000358966 ENST00000378279 ENST00000523536 ENST00000216264 ENST00000441801 ENST00000481066 ENST00000436580 ENST00000355407 	ENST00000377957 ENST00000257189 ENST00000371655 ENST00000307792 ENST00000396667 ENST00000305188 ENST00000560440 ENST00000526185 ENST00000438197 ENST00000399387 	6964 7876 7965 1636 1488 530 296 3490 1237 281 2689 1615 	3579 3590 1607 6278 11353 3696 2559 1525 1537 727 	6964 7876 7965 1636 1488 530 296 3490 1237 281 2689 1615 	3579 3590 1607 6278 11353 3696 2559 1525 1537 727 	53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 
ENST00000481916 ENST00000584196 ENST00000580938 ENST00000582966 ENST00000567973 ENST00000539061 ENST00000436679 ENST00000504880 ENST00000522663 ENST00000403396 ENST00000529482 ENST00000526284 	ENST00000396275 ENST00000225724 	927 941 927 941 214 1575 631 868 2724 2724 400 383 	83 1681 	933 947 933 947 220 1581 637 874 2730 2730 406 389 	83 1681 	47 47 47 47 47 47 47 47 47 47 47 47 	42 42 
ENST00000522540 	ENST00000374388 	482 	3454 	502 	3454 	32 	52 
ENST00000388795 	ENST00000541932 ENST00000562140 ENST00000370474 ENST00000373510 ENST00000492915 ENST00000558189 ENST00000247178 	4518 	2856 1369 689 2572 900 2805 2858 	4527 	2856 1369 689 3426 900 2805 2858 	44 	43 43 43 43 43 43 43 
ENST00000446190 ENST00000376625 	ENST00000409690 ENST00000399942 	3011 2801 	1187 942 	3023 2813 	1194 949 	32 32 	43 43 
ENST00000471743 ENST00000457468 	ENST00000505698 	643 1278 	26 	648 1283 	26 	31 31 	53 
ENST00000504931 	ENST00000412938 ENST00000414583 	7308 	3454 3198 	7308 	3454 3198 	53 	53 53 
ENST00000429412 ENST00000546113 ENST00000310613 ENST00000392857 	ENST00000538183 ENST00000489060 	2143 2143 4061 4783 	8579 3053 	2143 2143 4061 4783 	8579 3053 	51 51 51 51 	53 53 
ENST00000309955 	ENST00000599809 ENST00000594734 ENST00000598562 ENST00000569239 ENST00000597084 ENST00000398726 	3981 	324 330 330 1692 330 363 	3981 	324 330 330 1692 330 363 	53 	41 41 41 41 41 41 
ENST00000522802 	ENST00000379010 ENST00000555870 	457 	3015 4181 	457 	3037 4203 	37 	31 31 
ENST00000561643 	ENST00000401053 	1296 	3268 	1313 	3284 	32 	37 
ENST00000401766 	ENST00000529178 	4728 	606 	4748 	626 	33 	31 
ENST00000321521 ENST00000476570 ENST00000450253 	ENST00000354280 	8005 1736 10712 	1861 	8024 1755 10731 	1866 	33 33 33 	45 
ENST00000356560 	ENST00000254037 	-13 	1566 	1 	1583 	39 	36 
ENST00000321521 	ENST00000309733 ENST00000489060 ENST00000518152 ENST00000519167 	7990 	6662 1706 459 249 	7990 	6670 1714 467 257 	53 	43 43 43 43 
