ENST00000507623 ENST00000380638 	ENST00000463943 	187 187 	395 	187 187 	395 	53 53 	51 
ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	ENST00000449131 	216 98 96 238 216 	4206 	216 98 96 238 216 	4206 	44 44 44 44 44 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	197 197 	417 	197 197 	417 	53 53 	51 
ENST00000498161 ENST00000425761 ENST00000492727 ENST00000450676 ENST00000599364 	ENST00000449131 	361 379 386 384 361 	4124 	361 379 386 384 361 	4124 	53 53 53 53 53 	53 
ENST00000498161 ENST00000425761 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	331 349 554 354 386 354 331 	4123 	331 349 554 354 386 354 331 	4123 	53 53 53 53 53 53 53 	53 
ENST00000300177 ENST00000560830 ENST00000322805 	ENST00000607552 	2377 2224 2065 	107 	2377 2224 2065 	107 	53 53 53 	53 
ENST00000513356 ENST00000457472 	ENST00000296805 	159 61 	70 	159 61 	70 	53 53 	52 
ENST00000389400 	ENST00000604922 	542 	233 	542 	233 	53 	53 
ENST00000497322 ENST00000483598 ENST00000432629 ENST00000393148 ENST00000431782 ENST00000433385 ENST00000588627 ENST00000471280 	ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	1783 78 196 222 193 198 1972 188 	424 350 424 350 	1783 78 196 222 193 198 1972 188 	424 350 424 350 	53 53 53 53 53 53 53 53 	53 53 53 53 
ENST00000484430 ENST00000398981 ENST00000389400 ENST00000411660 	ENST00000604922 	590 598 616 590 	211 	590 598 616 590 	211 	53 53 53 53 	53 
ENST00000332271 ENST00000532537 ENST00000475528 ENST00000485585 ENST00000494413 ENST00000460562 ENST00000495194 ENST00000486105 ENST00000475993 ENST00000217957 ENST00000415430 ENST00000470464 	ENST00000321844 	90 94 2591 2591 2589 400 2590 2589 2589 1805 1957 2591 	4638 	100 104 2601 2601 2599 410 2600 2599 2599 1815 1967 2601 	4638 	32 32 32 32 32 32 32 32 32 32 32 32 	53 
ENST00000398259 ENST00000483907 ENST00000483613 ENST00000389400 ENST00000485355 ENST00000442655 	ENST00000604922 	516 518 518 546 518 518 	227 	516 518 518 546 518 518 	227 	53 53 53 53 53 53 	52 
ENST00000416139 ENST00000475608 	ENST00000592379 	222 219 	81 	222 219 	81 	52 52 	52 
ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000394290 ENST00000599364 	ENST00000449131 	327 345 211 209 382 327 	3770 	327 345 211 209 382 327 	3770 	53 53 53 53 53 53 	53 
ENST00000341162 	ENST00000563945 ENST00000577060 	1447 	357 357 	1447 	359 359 	52 	36 36 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	271 271 263 271 	81 	271 271 263 271 	81 	53 53 53 53 	52 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000461458 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	147 337 172 129 69 57 57 57 80 57 80 57 57 80 57 57 57 66 	157 	147 337 172 129 69 57 57 57 80 57 80 57 57 80 57 57 57 66 	157 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	51 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	149 339 174 131 71 59 59 82 59 82 59 82 59 59 59 68 	154 	149 339 174 131 71 59 59 82 59 82 59 82 59 59 59 68 	154 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	182 182 	417 	182 182 	417 	53 53 	51 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	378 	905 709 1925 	378 	905 709 1925 	52 	53 53 53 
ENST00000463579 	ENST00000491969 	187 	128 	187 	128 	53 	53 
ENST00000560975 ENST00000358278 ENST00000357980 ENST00000558347 ENST00000559397 ENST00000267996 ENST00000404484 ENST00000558544 ENST00000558264 ENST00000558072 	ENST00000560723 	2788 1084 1144 896 1011 1011 940 773 2031 458 	461 	2788 1084 1144 896 1011 1011 940 773 2031 458 	471 	48 48 48 48 48 48 48 48 48 48 	43 
ENST00000368069 ENST00000241704 	ENST00000469535 	4537 4662 	5073 	4537 4662 	5095 	53 53 	31 
ENST00000425466 ENST00000398259 ENST00000493479 	ENST00000604922 	536 534 520 	224 	536 534 520 	224 	53 53 53 	53 
ENST00000254624 ENST00000519656 ENST00000334503 	ENST00000437809 ENST00000473267 ENST00000368331 	4112 3921 3887 	7262 1002 7191 	4112 3921 3887 	7262 1002 7191 	53 53 53 	53 53 53 
ENST00000425466 ENST00000493479 ENST00000389400 	ENST00000604922 	533 517 561 	233 	533 517 561 	233 	53 53 53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	173 173 	408 	173 173 	408 	48 48 	53 
ENST00000521176 	ENST00000523959 	55 	521 	55 	521 	52 	51 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	73 71 213 	4187 	73 71 213 	4187 	53 53 53 	52 
ENST00000265068 	ENST00000587640 	5107 	1940 	5107 	1948 	48 	45 
ENST00000522532 	ENST00000523152 	109 	267 	109 	274 	53 	46 
ENST00000520547 ENST00000441206 	ENST00000570780 ENST00000391950 	450 401 	1118 1135 	450 401 	1118 1135 	51 51 	40 40 
ENST00000444581 	ENST00000453917 	720 	-1 	739 	0 	32 	34 
ENST00000435618 ENST00000481283 ENST00000489762 ENST00000421349 ENST00000498484 ENST00000463832 ENST00000419135 ENST00000433153 ENST00000429840 ENST00000491984 ENST00000457903 ENST00000479546 ENST00000445075 ENST00000482006 ENST00000450871 ENST00000471639 ENST00000469883 	ENST00000603274 	138 53 72 122 53 72 66 66 73 85 110 53 49 70 138 53 72 	464 	138 53 72 122 53 72 66 66 73 85 110 53 49 70 138 53 72 	464 	45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 	33 
ENST00000557697 	ENST00000556125 	17 	234 	17 	234 	51 	51 
ENST00000446445 	ENST00000592379 	281 	59 	281 	59 	53 	53 
ENST00000323496 	ENST00000463943 	262 	404 	262 	404 	51 	53 
ENST00000302278 ENST00000494395 ENST00000396033 ENST00000374956 ENST00000423113 	ENST00000439374 ENST00000540998 ENST00000357235 	1728 134 1799 1738 1663 	3048 2733 2597 	1728 134 1799 1738 1663 	3048 2733 2597 	52 52 52 52 52 	33 33 33 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000484430 ENST00000398981 ENST00000398259 ENST00000389400 	ENST00000604922 	518 526 514 544 	209 	518 526 514 544 	209 	53 53 53 53 	53 
ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	ENST00000449131 	105 103 244 245 	4187 	105 103 244 245 	4187 	47 47 47 47 	52 
ENST00000373314 ENST00000373312 	ENST00000552264 ENST00000547001 ENST00000547334 ENST00000549322 ENST00000549105 ENST00000597888 ENST00000549001 ENST00000552021 ENST00000600392 ENST00000550392 ENST00000605181 ENST00000600122 ENST00000603969 	2808 3009 	736 3385 3385 736 3385 3385 499 3385 3385 499 499 3382 948 	2808 3009 	736 3385 3385 736 3385 3385 499 3385 3385 499 499 3382 948 	51 51 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000507623 ENST00000380638 	ENST00000463943 	194 194 	407 	194 194 	407 	53 53 	53 
ENST00000249883 ENST00000422605 ENST00000514516 ENST00000506326 	ENST00000491769 	3450 3300 3486 2509 	2684 	3450 3300 3486 2509 	2690 	52 52 52 52 	32 
ENST00000369307 	ENST00000498565 	86 	279 	86 	279 	53 	53 
ENST00000295766 ENST00000550767 ENST00000547939 ENST00000546918 ENST00000548363 ENST00000550254 ENST00000550811 	ENST00000549554 	597 145 299 204 121 139 583 	283 	597 145 299 204 121 139 583 	283 	53 53 53 53 53 53 53 	53 
ENST00000574872 	ENST00000520221 	664 	47 	664 	47 	49 	53 
ENST00000564892 ENST00000564301 ENST00000563801 ENST00000563769 ENST00000563814 ENST00000563398 ENST00000569194 ENST00000564081 ENST00000323345 ENST00000496554 ENST00000463740 ENST00000426651 ENST00000468019 ENST00000485706 ENST00000315731 ENST00000489392 	ENST00000420788 	467 790 463 1000 571 621 256 583 467 790 463 1000 571 621 256 583 	106 	467 790 463 1000 571 621 256 583 467 790 463 1000 571 621 256 583 	109 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	32 
ENST00000434913 	ENST00000449131 	244 	4155 	244 	4155 	49 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	181 181 	426 	181 181 	426 	53 53 	50 
ENST00000574749 ENST00000570577 ENST00000572488 ENST00000575430 ENST00000573675 ENST00000350210 ENST00000368366 ENST00000368368 ENST00000361361 ENST00000487649 	ENST00000469222 	2042 1637 2284 2757 1384 2042 1637 2284 2757 1384 	1864 	2042 1637 2284 2757 1384 2042 1637 2284 2757 1384 	1864 	52 52 52 52 52 52 52 52 52 52 	32 
ENST00000520547 ENST00000441206 	ENST00000570780 ENST00000391950 	428 379 	1109 1126 	428 379 	1109 1126 	53 53 	52 52 
ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	331 349 215 213 554 354 386 354 331 	3773 	331 349 215 213 554 354 386 354 331 	3773 	53 53 53 53 53 53 53 53 53 	53 
ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	ENST00000449131 	361 384 379 385 386 384 361 	3782 	361 384 379 385 386 384 361 	3782 	53 53 53 53 53 53 53 	53 
ENST00000451311 ENST00000380636 ENST00000380635 ENST00000380633 	ENST00000463943 	353 1428 492 366 	264 	353 1428 492 366 	275 	53 53 53 53 	41 
ENST00000483907 ENST00000483613 ENST00000389400 ENST00000485355 ENST00000442655 	ENST00000604922 	518 518 546 518 518 	241 	518 518 546 518 518 	241 	53 53 53 53 53 	52 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000449131 	4757 5031 4758 4758 5135 3278 4758 4763 5030 4758 913 4758 4758 4758 4758 	4206 	4757 5031 4758 4758 5135 3278 4758 4763 5030 4758 913 4758 4758 4758 4758 	4206 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000322652 ENST00000580398 	ENST00000534438 ENST00000601832 	2865 2747 	214 214 	2865 2747 	214 214 	52 52 	53 53 
ENST00000567272 ENST00000403549 	ENST00000427908 	577 425 	1796 	595 443 	1796 	34 34 	50 
ENST00000223095 ENST00000445463 	ENST00000558528 	3012 2958 	35 	3012 2958 	45 	51 51 	40 
ENST00000462119 	ENST00000538183 ENST00000476192 ENST00000261200 ENST00000497426 ENST00000474698 	938 	7074 4563 6945 4563 4562 	954 	7075 4564 6946 4564 4563 	35 	51 51 51 51 51 
ENST00000517577 	ENST00000449131 	213 	4161 	213 	4161 	53 	52 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	271 271 263 271 	29 	271 271 263 271 	29 	53 53 53 53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	190 190 	419 	190 190 	419 	52 52 	51 
ENST00000309100 ENST00000532507 ENST00000530153 ENST00000524848 	ENST00000419932 	2893 1140 2158 1469 	229 	2893 1140 2158 1469 	230 	52 52 52 52 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	182 182 	417 	182 182 	417 	53 53 	51 
ENST00000252444 	ENST00000398738 ENST00000543600 ENST00000444614 ENST00000536991 ENST00000461350 ENST00000373014 	4119 	1846 1837 1670 348 1262 1779 	4119 	1846 1837 1670 348 1262 1779 	53 	52 52 52 52 52 52 
ENST00000262352 	ENST00000594552 	884 	979 	895 	979 	41 	52 
ENST00000425118 ENST00000377526 ENST00000463900 ENST00000466894 ENST00000464887 	ENST00000519266 ENST00000520221 	557 736 690 678 88 	177 17 	557 736 690 678 88 	189 29 	53 53 53 53 53 	40 40 
ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	48 71 48 48 48 57 	121 	48 71 48 48 48 57 	121 	50 50 50 50 50 50 	52 
