ENST00000580755 	ENST00000592379 	281 	25 	281 	38 	53 	38 
ENST00000518657 	ENST00000523152 	189 	238 	189 	238 	52 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	98 96 238 	4214 	98 96 238 	4214 	53 53 53 	53 
ENST00000602840 	ENST00000576948 ENST00000575094 	2235 	566 1266 	2252 	573 1273 	36 	33 33 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	76 74 216 	4200 	76 74 216 	4200 	53 53 53 	53 
ENST00000434913 	ENST00000449131 	236 	4128 	236 	4128 	53 	53 
ENST00000235345 	ENST00000279873 	4460 	4597 	4460 	4598 	53 	31 
ENST00000468666 ENST00000478186 	ENST00000445820 ENST00000428199 	261 253 	111 111 	261 253 	111 111 	53 53 	52 52 
ENST00000330263 	ENST00000372523 ENST00000341446 ENST00000398107 ENST00000425369 ENST00000584554 ENST00000441564 ENST00000524543 ENST00000528080 ENST00000397461 ENST00000395684 ENST00000280614 ENST00000540121 ENST00000499676 ENST00000258111 ENST00000251269 ENST00000328914 ENST00000221996 ENST00000343450 ENST00000372592 ENST00000308941 ENST00000419552 ENST00000562263 ENST00000471841 ENST00000366998 ENST00000254942 ENST00000566051 ENST00000603068 ENST00000574118 ENST00000544724 ENST00000414812 ENST00000505044 ENST00000467747 ENST00000503374 ENST00000012049 ENST00000366382 ENST00000415930 ENST00000327794 ENST00000460562 ENST00000482240 ENST00000475361 ENST00000340417 ENST00000510877 ENST00000442461 ENST00000446851 ENST00000395283 ENST00000395282 ENST00000465550 ENST00000357613 ENST00000568559 ENST00000581287 ENST00000383657 ENST00000583206 ENST00000477859 ENST00000588427 ENST00000588578 ENST00000445217 ENST00000435803 ENST00000411975 ENST00000544596 ENST00000392690 ENST00000394670 ENST00000526038 ENST00000301019 ENST00000588534 ENST00000508554 ENST00000285298 ENST00000563972 ENST00000496942 ENST00000482969 ENST00000497738 ENST00000374045 ENST00000470617 ENST00000510199 ENST00000491741 ENST00000243673 ENST00000216513 ENST00000605421 ENST00000560810 ENST00000359975 	1464 	2033 3272 3359 3211 19 9463 1719 1856 65 166 1699 12 5392 2637 2472 8038 1710 2055 572 59 55 9 4876 1645 1894 475 1876 922 1618 48 64 617 7 1818 1322 3821 7569 370 441 633 3733 3058 2972 2801 3088 3231 938 3707 3287 322 2607 225 4822 294 2343 1460 16376 3671 3671 3123 6280 1297 -1 905 492 959 732 2042 1387 1372 4560 421 41 810 2372 4178 168 909 136 	1464 	2040 3279 3366 3218 26 9470 1726 1863 72 173 1706 19 5399 2644 2479 8045 1717 2062 579 66 62 16 4883 1652 1901 482 1883 929 1625 55 71 624 14 1825 1329 3828 7576 377 448 640 3740 3065 2979 2808 3095 3238 945 3714 3294 329 2614 232 4829 301 2350 1467 16383 3678 3678 3130 6287 1304 6 912 499 966 739 2049 1394 1379 4567 428 48 817 2379 4185 175 916 143 	53 	45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 
ENST00000574872 ENST00000442087 	ENST00000519266 ENST00000520221 	708 191 	183 23 	708 191 	183 23 	53 53 	53 53 
ENST00000497322 ENST00000483598 ENST00000481802 ENST00000429825 ENST00000588627 ENST00000471280 	ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	1735 30 150 149 1924 140 	424 350 424 350 	1735 30 150 149 1924 140 	424 350 424 350 	53 53 53 53 53 53 	53 53 53 53 
ENST00000203556 ENST00000587238 ENST00000588171 ENST00000591047 ENST00000445806 	ENST00000575876 ENST00000466788 ENST00000609263 	654 548 605 521 592 	1450 1450 3047 	675 569 626 542 613 	1450 1450 3047 	31 31 31 31 31 	33 33 33 
ENST00000256707 ENST00000473731 ENST00000488729 ENST00000489024 ENST00000319688 ENST00000471275 ENST00000427284 ENST00000418530 	ENST00000367203 ENST00000485714 ENST00000463030 	728 744 870 718 706 51 728 728 	1910 1328 563 	728 744 870 718 706 51 728 728 	1910 1328 563 	43 43 43 43 43 43 43 43 	36 36 36 
ENST00000604612 	ENST00000607773 	103 	450 	103 	450 	52 	53 
ENST00000312675 ENST00000543006 	ENST00000394511 	13618 13561 	58 	13618 13561 	58 	32 32 	40 
ENST00000416139 ENST00000475608 	ENST00000592379 	227 224 	75 	227 224 	75 	52 52 	53 
ENST00000569415 ENST00000568218 	ENST00000589661 	519 501 	1028 	519 501 	1028 	53 53 	52 
ENST00000380615 	ENST00000574224 	4210 	1463 	4210 	1479 	51 	37 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1945 2077 2524 	476 	1945 2077 2524 	476 	53 53 53 	53 
